SecurityLogID,Timestamp,ScreeningResult,TicketID
SE00070,2025-11-19 18:05:48.670617,Clear,TI00070
SE00071,2025-11-19 18:05:48.670617,Clear,TI00071
SE00072,2025-11-19 17:05:48.670617,Clear,TI00072
SE00073,2025-11-19 18:05:48.670617,Clear,TI00073
SE00074,2025-11-19 17:05:48.670617,Clear,TI00074
SE00075,2025-11-19 19:05:48.670617,Clear,TI00075
SE00076,2025-11-19 19:05:48.670617,Clear,TI00076
SE00077,2025-11-19 19:05:48.670617,Clear,TI00077
SE00078,2025-11-19 18:05:48.670617,Clear,TI00078
SE00079,2025-11-19 18:05:48.670617,Clear,TI00079
SE00080,2025-11-19 17:05:48.670617,Clear,TI00080
SE00081,2025-11-19 18:05:48.670617,Clear,TI00081
SE00082,2025-11-19 19:05:48.670617,Clear,TI00082
SE00083,2025-11-19 17:05:48.670617,Clear,TI00083
SE00084,2025-11-19 18:05:48.670617,Clear,TI00084
SE00085,2025-11-19 18:05:48.670617,Clear,TI00085
SE00086,2025-11-19 19:05:48.670617,Clear,TI00086
SE00087,2025-11-19 18:05:48.670617,Clear,TI00087
SE00088,2025-11-19 17:05:48.670617,Clear,TI00088
SE00089,2025-11-19 18:05:48.670617,Clear,TI00089
SE00090,2025-11-19 17:05:48.670617,Clear,TI00090
SE00091,2025-11-19 18:05:48.670617,Flagged,TI00091
SE00092,2025-11-19 17:05:48.670617,Clear,TI00092
SE00093,2025-11-19 19:05:48.670617,Flagged,TI00093
SE00094,2025-11-19 19:05:48.670617,Clear,TI00094
SE00095,2025-11-19 17:05:48.670617,Flagged,TI00095
SE00096,2025-11-19 18:05:48.670617,Clear,TI00096
SE00097,2025-11-19 19:05:48.670617,Clear,TI00097
SE00098,2025-11-19 19:05:48.670617,Clear,TI00098
SE00099,2025-11-19 19:05:48.670617,Clear,TI00099
SE00100,2025-11-19 19:05:48.670617,Clear,TI00100
SE00101,2025-11-19 19:05:48.670617,Clear,TI00101
SE00102,2025-11-19 19:05:48.670617,Clear,TI00102
SE00103,2025-11-19 18:05:48.670617,Clear,TI00103
SE00104,2025-11-19 17:05:48.670617,Clear,TI00104
SE00105,2025-11-19 18:05:48.670617,Clear,TI00105
SE00106,2025-11-19 19:05:48.670617,Clear,TI00106
SE00107,2025-11-19 19:05:48.670617,Clear,TI00107
SE00108,2025-11-19 17:05:48.670617,Clear,TI00108
SE00109,2025-11-19 18:05:48.670617,Clear,TI00109
SE00110,2025-11-19 18:05:48.670617,Clear,TI00110
SE00111,2025-11-19 18:05:48.670617,Clear,TI00111
SE00112,2025-11-19 19:05:48.670617,Clear,TI00112
SE00113,2025-11-19 17:05:48.670617,Clear,TI00113
SE00114,2025-11-19 18:05:48.670617,Clear,TI00114
SE00115,2025-11-19 19:05:48.670617,Clear,TI00115
SE00116,2025-11-19 19:05:48.670617,Clear,TI00116
SE00117,2025-11-19 18:05:48.670617,Clear,TI00117
SE00118,2025-11-19 18:05:48.670617,Clear,TI00118
SE00119,2025-11-19 17:05:48.670617,Clear,TI00119
SE00120,2025-11-19 19:05:48.670617,Clear,TI00120
SE00121,2025-11-19 18:05:48.670617,Clear,TI00121
SE00122,2025-11-19 19:05:48.670617,Clear,TI00122
SE00123,2025-11-19 17:05:48.670617,Clear,TI00123
SE00124,2025-11-19 18:05:48.670617,Flagged,TI00124
SE00125,2025-11-19 18:05:48.670617,Clear,TI00125
SE00126,2025-11-19 18:05:48.670617,Clear,TI00126
SE00127,2025-11-19 19:05:48.670617,Clear,TI00127
SE00128,2025-11-19 19:05:48.670617,Clear,TI00128
SE00129,2025-11-19 17:05:48.670617,Clear,TI00129
SE00130,2025-11-19 18:05:48.670617,Clear,TI00130
SE00131,2025-11-19 18:05:48.670617,Clear,TI00131
SE00132,2025-11-19 19:05:48.670617,Flagged,TI00132
SE00133,2025-11-19 17:05:48.670617,Clear,TI00133
SE00134,2025-11-19 18:05:48.670617,Clear,TI00134
SE00135,2025-11-19 17:05:48.670617,Clear,TI00135
SE00136,2025-11-19 19:05:48.670617,Clear,TI00136
SE00137,2025-11-19 19:05:48.670617,Clear,TI00137
SE00138,2025-11-19 17:05:48.670617,Clear,TI00138
SE00139,2025-11-19 19:05:48.670617,Clear,TI00139
SE00140,2025-11-19 18:05:48.670617,Clear,TI00140
SE00141,2025-11-19 18:05:48.670617,Flagged,TI00141
SE00142,2025-11-19 19:05:48.670617,Flagged,TI00142
SE00143,2025-11-19 18:05:48.670617,Flagged,TI00143
SE00144,2025-11-19 17:05:48.670617,Clear,TI00144
SE00145,2025-11-19 19:05:48.670617,Clear,TI00145
SE00146,2025-11-19 18:05:48.670617,Clear,TI00146
SE00147,2025-11-19 17:05:48.670617,Flagged,TI00147
SE00148,2025-11-19 19:05:48.670617,Clear,TI00148
SE00149,2025-11-19 18:05:48.670617,Flagged,TI00149
SE00150,2025-11-19 17:05:48.670617,Clear,TI00150
SE00151,2025-11-19 18:05:48.670617,Clear,TI00151
SE00152,2025-11-19 18:05:48.670617,Clear,TI00152
SE00153,2025-11-19 19:05:48.670617,Clear,TI00153
SE00154,2025-11-19 17:05:48.670617,Clear,TI00154
SE00155,2025-11-19 17:05:48.670617,Flagged,TI00155
SE00156,2025-11-19 18:05:48.670617,Clear,TI00156
SE00157,2025-11-19 18:05:48.670617,Clear,TI00157
SE00158,2025-11-19 17:05:48.670617,Clear,TI00158
SE00159,2025-11-19 18:05:48.670617,Clear,TI00159
SE00160,2025-11-19 17:05:48.670617,Clear,TI00160
SE00161,2025-11-19 19:05:48.670617,Clear,TI00161
SE00162,2025-11-19 17:05:48.670617,Clear,TI00162
SE00163,2025-11-19 19:05:48.670617,Clear,TI00163
SE00164,2025-11-19 17:05:48.670617,Clear,TI00164
SE00165,2025-11-19 19:05:48.670617,Flagged,TI00165
SE00166,2025-11-19 19:05:48.670617,Clear,TI00166
SE00167,2025-11-19 19:05:48.670617,Clear,TI00167
SE00168,2025-11-19 19:05:48.670617,Clear,TI00168
SE00169,2025-11-19 18:05:48.670617,Clear,TI00169
SE00170,2025-11-19 19:05:48.670617,Clear,TI00170
SE00171,2025-11-19 17:05:48.670617,Clear,TI00171
SE00172,2025-11-19 18:05:48.670617,Clear,TI00172
SE00173,2025-11-19 17:05:48.670617,Clear,TI00173
SE00174,2025-11-19 19:05:48.670617,Clear,TI00174
SE00175,2025-11-19 18:05:48.670617,Clear,TI00175
SE00176,2025-11-19 17:05:48.670617,Clear,TI00176
SE00177,2025-11-19 19:05:48.670617,Clear,TI00177
SE00178,2025-11-19 19:05:48.670617,Clear,TI00178
SE00179,2025-11-19 19:05:48.670617,Clear,TI00179
SE00180,2025-11-19 17:05:48.670617,Clear,TI00180
SE00181,2025-11-19 19:05:48.670617,Clear,TI00181
SE00182,2025-11-19 18:05:48.670617,Clear,TI00182
SE00183,2025-11-19 19:05:48.670617,Clear,TI00183
SE00184,2025-11-19 18:05:48.670617,Clear,TI00184
SE00185,2025-11-19 17:05:48.670617,Clear,TI00185
SE00186,2025-11-19 19:05:48.670617,Clear,TI00186
SE00187,2025-11-19 17:05:48.670617,Clear,TI00187
SE00188,2025-11-19 18:05:48.670617,Clear,TI00188
SE00189,2025-11-19 17:05:48.670617,Clear,TI00189
SE00190,2025-11-19 18:05:48.670617,Clear,TI00190
SE00191,2025-11-19 17:05:48.670617,Clear,TI00191
SE00192,2025-11-19 18:05:48.670617,Flagged,TI00192
SE00193,2025-11-19 17:05:48.670617,Clear,TI00193
SE00194,2025-11-19 18:05:48.670617,Flagged,TI00194
SE00195,2025-11-19 17:05:48.670617,Clear,TI00195
SE00196,2025-11-19 17:05:48.670617,Clear,TI00196
SE00197,2025-11-19 19:05:48.670617,Clear,TI00197
SE00198,2025-11-19 19:05:48.670617,Clear,TI00198
SE00199,2025-11-19 18:05:48.670617,Clear,TI00199
SE00200,2025-11-19 18:05:48.670617,Clear,TI00200
SE00201,2025-11-19 19:05:48.670617,Clear,TI00201
SE00202,2025-11-19 19:05:48.670617,Clear,TI00202
SE00203,2025-11-19 19:05:48.670617,Clear,TI00203
SE00204,2025-11-19 19:05:48.670617,Clear,TI00204
SE00205,2025-11-19 18:05:48.670617,Flagged,TI00205
SE00206,2025-11-19 19:05:48.670617,Clear,TI00206
SE00207,2025-11-19 17:05:48.670617,Flagged,TI00207
SE00208,2025-11-19 19:05:48.670617,Clear,TI00208
SE00209,2025-11-19 17:05:48.670617,Clear,TI00209
SE00210,2025-11-19 17:05:48.670617,Clear,TI00210
SE00211,2025-11-19 19:05:48.670617,Flagged,TI00211
SE00212,2025-11-19 19:05:48.670617,Clear,TI00212
SE00213,2025-11-19 18:05:48.670617,Clear,TI00213
SE00214,2025-11-19 17:05:48.670617,Clear,TI00214
SE00215,2025-11-19 17:05:48.670617,Clear,TI00215
SE00216,2025-11-19 17:05:48.670617,Clear,TI00216
SE00217,2025-11-19 18:05:48.670617,Clear,TI00217
SE00218,2025-11-19 17:05:48.670617,Clear,TI00218
SE00219,2025-11-19 18:05:48.670617,Clear,TI00219
SE00220,2025-11-19 19:05:48.670617,Clear,TI00220
SE00221,2025-11-19 18:05:48.670617,Clear,TI00221
SE00222,2025-11-19 18:05:48.670617,Clear,TI00222
SE00223,2025-11-19 19:05:48.670617,Clear,TI00223
SE00224,2025-11-19 18:05:48.670617,Clear,TI00224
SE00225,2025-11-19 19:05:48.670617,Clear,TI00225
SE00226,2025-11-19 17:05:48.670617,Clear,TI00226
SE00227,2025-11-19 18:05:48.670617,Clear,TI00227
SE00228,2025-11-19 18:05:48.670617,Clear,TI00228
SE00229,2025-11-19 19:05:48.670617,Clear,TI00229
SE00230,2025-11-19 19:05:48.670617,Clear,TI00230
SE00231,2025-11-19 17:05:48.670617,Clear,TI00231
SE00232,2025-11-19 18:05:48.670617,Clear,TI00232
SE00233,2025-11-19 19:05:48.670617,Clear,TI00233
SE00234,2025-11-19 18:05:48.670617,Clear,TI00234
SE00235,2025-11-19 19:05:48.670617,Clear,TI00235
SE00236,2025-11-19 18:05:48.670617,Clear,TI00236
SE00237,2025-11-19 18:05:48.670617,Clear,TI00237
SE00238,2025-11-19 17:05:48.670617,Clear,TI00238
SE00239,2025-11-19 18:05:48.670617,Clear,TI00239
SE00240,2025-11-19 17:05:48.670617,Clear,TI00240
SE00241,2025-11-19 17:05:48.670617,Clear,TI00241
SE00242,2025-11-19 18:05:48.670617,Clear,TI00242
SE00243,2025-11-19 17:05:48.670617,Clear,TI00243
SE00244,2025-11-19 17:05:48.670617,Clear,TI00244
SE00245,2025-11-19 19:05:48.670617,Clear,TI00245
SE00246,2025-11-19 18:05:48.670617,Clear,TI00246
SE00247,2025-11-19 19:05:48.670617,Clear,TI00247
SE00248,2025-11-19 17:05:48.670617,Clear,TI00248
SE00249,2025-11-19 18:05:48.670617,Clear,TI00249
SE00250,2025-11-19 17:05:48.670617,Clear,TI00250
SE00251,2025-11-19 19:05:48.670617,Clear,TI00251
SE00252,2025-11-19 19:05:48.670617,Clear,TI00252
SE00253,2025-11-19 19:05:48.670617,Clear,TI00253
SE00254,2025-11-19 18:05:48.670617,Clear,TI00254
SE00255,2025-11-19 17:05:48.670617,Clear,TI00255
SE00256,2025-11-19 18:05:48.670617,Clear,TI00256
SE00257,2025-11-19 18:05:48.670617,Clear,TI00257
SE00258,2025-11-19 17:05:48.670617,Clear,TI00258
SE00259,2025-11-19 17:05:48.670617,Clear,TI00259
SE00260,2025-11-19 18:05:48.670617,Flagged,TI00260
SE00261,2025-11-19 17:05:48.670617,Clear,TI00261
SE00262,2025-11-19 19:05:48.670617,Clear,TI00262
SE00263,2025-11-19 17:05:48.670617,Clear,TI00263
SE00264,2025-11-19 18:05:48.670617,Clear,TI00264
SE00265,2025-11-19 17:05:48.670617,Clear,TI00265
SE00266,2025-11-19 19:05:48.670617,Clear,TI00266
SE00267,2025-11-19 17:05:48.670617,Clear,TI00267
SE00268,2025-11-19 18:05:48.670617,Clear,TI00268
SE00269,2025-11-19 18:05:48.670617,Clear,TI00269
SE00270,2025-11-19 18:05:48.670617,Clear,TI00270
SE00271,2025-11-19 19:05:48.670617,Clear,TI00271
SE00272,2025-11-19 18:05:48.670617,Clear,TI00272
SE00273,2025-11-19 17:05:48.670617,Clear,TI00273
SE00274,2025-11-19 19:05:48.670617,Clear,TI00274
SE00275,2025-11-19 18:05:48.670617,Clear,TI00275
SE00276,2025-11-19 18:05:48.670617,Clear,TI00276
SE00277,2025-11-19 19:05:48.670617,Clear,TI00277
SE00278,2025-11-19 19:05:48.670617,Clear,TI00278
SE00279,2025-11-19 19:05:48.670617,Clear,TI00279
SE00280,2025-11-19 18:05:48.670617,Clear,TI00280
SE00281,2025-11-19 18:05:48.670617,Clear,TI00281
SE00282,2025-11-19 19:05:48.670617,Clear,TI00282
SE00283,2025-11-19 17:05:48.670617,Clear,TI00283
SE00284,2025-11-19 17:05:48.670617,Clear,TI00284
SE00285,2025-11-19 19:05:48.670617,Flagged,TI00285
SE00286,2025-11-19 18:05:48.670617,Clear,TI00286
SE00287,2025-11-19 19:05:48.670617,Clear,TI00287
SE00288,2025-11-19 19:05:48.670617,Clear,TI00288
SE00289,2025-11-19 19:05:48.670617,Clear,TI00289
SE00290,2025-11-19 17:05:48.670617,Clear,TI00290
SE00291,2025-11-19 18:05:48.670617,Clear,TI00291
SE00292,2025-11-19 19:05:48.670617,Clear,TI00292
SE00293,2025-11-19 18:05:48.670617,Clear,TI00293
SE00294,2025-11-19 19:05:48.670617,Clear,TI00294
SE00295,2025-11-19 18:05:48.670617,Clear,TI00295
SE00296,2025-11-19 18:05:48.670617,Clear,TI00296
SE00297,2025-11-19 17:05:48.670617,Clear,TI00297
SE00298,2025-11-19 17:05:48.670617,Clear,TI00298
SE00299,2025-11-19 19:05:48.670617,Clear,TI00299
SE00300,2025-11-19 19:05:48.670617,Clear,TI00300
SE00301,2025-11-19 19:05:48.670617,Clear,TI00301
SE00302,2025-11-19 18:05:48.670617,Clear,TI00302
SE00303,2025-11-19 18:05:48.670617,Clear,TI00303
SE00304,2025-11-19 17:05:48.670617,Clear,TI00304
SE00305,2025-11-19 19:05:48.670617,Clear,TI00305
SE00306,2025-11-19 18:05:48.670617,Clear,TI00306
SE00307,2025-11-19 19:05:48.670617,Clear,TI00307
SE00308,2025-11-19 19:05:48.670617,Clear,TI00308
SE00309,2025-11-19 19:05:48.670617,Clear,TI00309
SE00310,2025-11-19 18:05:48.670617,Clear,TI00310
SE00311,2025-11-19 17:05:48.670617,Clear,TI00311
SE00312,2025-11-19 18:05:48.670617,Clear,TI00312
SE00313,2025-11-19 19:05:48.670617,Clear,TI00313
SE00314,2025-11-19 17:05:48.670617,Clear,TI00314
SE00315,2025-11-19 19:05:48.670617,Clear,TI00315
SE00316,2025-11-19 19:05:48.670617,Clear,TI00316
SE00317,2025-11-19 18:05:48.670617,Clear,TI00317
SE00318,2025-11-19 19:05:48.670617,Clear,TI00318
SE00319,2025-11-19 18:05:48.670617,Clear,TI00319
SE00320,2025-11-19 19:05:48.670617,Clear,TI00320
SE00321,2025-11-19 19:05:48.670617,Clear,TI00321
SE00322,2025-11-19 19:05:48.670617,Clear,TI00322
SE00323,2025-11-19 19:05:48.670617,Clear,TI00323
SE00324,2025-11-19 19:05:48.670617,Clear,TI00324
SE00325,2025-11-19 19:05:48.670617,Clear,TI00325
SE00326,2025-11-19 19:05:48.670617,Clear,TI00326
SE00327,2025-11-19 19:05:48.670617,Clear,TI00327
SE00328,2025-11-19 18:05:48.670617,Clear,TI00328
SE00329,2025-11-19 19:05:48.670617,Clear,TI00329
SE00330,2025-11-19 17:05:48.670617,Clear,TI00330
SE00331,2025-11-19 19:05:48.670617,Clear,TI00331
SE00332,2025-11-19 18:05:48.670617,Clear,TI00332
SE00333,2025-11-19 18:05:48.670617,Clear,TI00333
SE00334,2025-11-19 17:05:48.670617,Clear,TI00334
SE00335,2025-11-19 18:05:48.670617,Clear,TI00335
SE00336,2025-11-19 17:05:48.670617,Clear,TI00336
SE00337,2025-11-19 18:05:48.670617,Clear,TI00337
SE00338,2025-11-19 17:05:48.670617,Clear,TI00338
SE00339,2025-11-19 19:05:48.670617,Clear,TI00339
SE00340,2025-11-19 17:05:48.670617,Clear,TI00340
SE00341,2025-11-19 18:05:48.670617,Clear,TI00341
SE00342,2025-11-19 19:05:48.670617,Clear,TI00342
SE00343,2025-11-19 19:05:48.670617,Clear,TI00343
SE00344,2025-11-19 17:05:48.670617,Clear,TI00344
SE00345,2025-11-19 19:05:48.670617,Clear,TI00345
SE00346,2025-11-19 19:05:48.670617,Flagged,TI00346
SE00347,2025-11-19 18:05:48.670617,Clear,TI00347
SE00348,2025-11-19 19:05:48.670617,Clear,TI00348
SE00349,2025-11-19 17:05:48.670617,Clear,TI00349
SE00350,2025-11-19 19:05:48.670617,Flagged,TI00350
SE00351,2025-11-19 19:05:48.670617,Clear,TI00351
SE00352,2025-11-19 19:05:48.670617,Clear,TI00352
SE00353,2025-11-19 18:05:48.670617,Flagged,TI00353
SE00354,2025-11-19 19:05:48.670617,Clear,TI00354
SE00355,2025-11-19 17:05:48.670617,Clear,TI00355
SE00356,2025-11-19 18:05:48.670617,Clear,TI00356
SE00357,2025-11-19 17:05:48.670617,Flagged,TI00357
SE00358,2025-11-19 19:05:48.670617,Clear,TI00358
SE00359,2025-11-19 19:05:48.670617,Clear,TI00359
SE00360,2025-11-19 18:05:48.670617,Clear,TI00360
SE00361,2025-11-19 18:05:48.670617,Clear,TI00361
SE00362,2025-11-19 17:05:48.670617,Clear,TI00362
SE00363,2025-11-19 18:05:48.670617,Clear,TI00363
SE00364,2025-11-19 19:05:48.670617,Clear,TI00364
SE00365,2025-11-19 19:05:48.670617,Clear,TI00365
SE00366,2025-11-19 18:05:48.670617,Clear,TI00366
SE00367,2025-11-19 19:05:48.670617,Clear,TI00367
SE00368,2025-11-19 17:05:48.670617,Clear,TI00368
SE00369,2025-11-19 17:05:48.670617,Clear,TI00369
SE00370,2025-11-19 18:05:48.670617,Clear,TI00370
SE00371,2025-11-19 18:05:48.670617,Clear,TI00371
SE00372,2025-11-19 18:05:48.670617,Clear,TI00372
SE00373,2025-11-19 17:05:48.670617,Clear,TI00373
SE00374,2025-11-19 17:05:48.670617,Clear,TI00374
SE00375,2025-11-19 17:05:48.670617,Clear,TI00375
SE00376,2025-11-19 17:05:48.670617,Clear,TI00376
SE00377,2025-11-19 17:05:48.670617,Clear,TI00377
SE00378,2025-11-19 19:05:48.670617,Clear,TI00378
SE00379,2025-11-19 19:05:48.670617,Clear,TI00379
SE00380,2025-11-19 18:05:48.670617,Confiscated,TI00380
SE00381,2025-11-19 18:05:48.670617,Clear,TI00381
SE00382,2025-11-19 19:05:48.670617,Clear,TI00382
SE00383,2025-11-19 19:05:48.670617,Clear,TI00383
SE00384,2025-11-19 19:05:48.670617,Clear,TI00384
SE00385,2025-11-19 17:05:48.670617,Clear,TI00385
SE00386,2025-11-19 19:05:48.670617,Clear,TI00386
SE00387,2025-11-19 18:05:48.670617,Clear,TI00387
SE00388,2025-11-19 19:05:48.670617,Clear,TI00388
SE00389,2025-11-19 19:05:48.670617,Flagged,TI00389
SE00390,2025-11-19 19:05:48.670617,Clear,TI00390
SE00391,2025-11-19 17:05:48.670617,Clear,TI00391
SE00392,2025-11-19 17:05:48.670617,Clear,TI00392
SE00393,2025-11-19 19:05:48.670617,Clear,TI00393
SE00394,2025-11-19 18:05:48.670617,Clear,TI00394
SE00395,2025-11-19 17:05:48.670617,Flagged,TI00395
SE00396,2025-11-19 19:05:48.670617,Clear,TI00396
SE00397,2025-11-19 19:05:48.670617,Clear,TI00397
SE00398,2025-11-19 19:05:48.670617,Clear,TI00398
SE00399,2025-11-19 18:05:48.670617,Clear,TI00399
SE00400,2025-11-19 18:05:48.670617,Flagged,TI00400
SE00401,2025-11-19 18:05:48.670617,Clear,TI00401
SE00402,2025-11-19 18:05:48.670617,Clear,TI00402
SE00403,2025-11-19 19:05:48.670617,Clear,TI00403
SE00404,2025-11-19 19:05:48.670617,Clear,TI00404
SE00405,2025-11-19 19:05:48.670617,Flagged,TI00405
SE00406,2025-11-19 19:05:48.670617,Confiscated,TI00406
SE00407,2025-11-19 18:05:48.670617,Clear,TI00407
SE00408,2025-11-19 17:05:48.670617,Clear,TI00408
SE00409,2025-11-19 19:05:48.670617,Clear,TI00409
SE00410,2025-11-19 17:05:48.670617,Clear,TI00410
SE00411,2025-11-19 19:05:48.670617,Clear,TI00411
SE00412,2025-11-19 19:05:48.670617,Clear,TI00412
SE00413,2025-11-19 19:05:48.670617,Clear,TI00413
SE00414,2025-11-19 18:05:48.670617,Clear,TI00414
SE00415,2025-11-19 19:05:48.670617,Clear,TI00415
SE00416,2025-11-19 18:05:48.670617,Clear,TI00416
SE00417,2025-11-19 18:05:48.670617,Clear,TI00417
SE00418,2025-11-19 17:05:48.670617,Clear,TI00418
SE00419,2025-11-19 19:05:48.670617,Clear,TI00419
SE00420,2025-11-19 19:05:48.670617,Clear,TI00420
SE00421,2025-11-19 18:05:48.670617,Clear,TI00421
SE00422,2025-11-19 18:05:48.670617,Flagged,TI00422
SE00423,2025-11-19 17:05:48.670617,Clear,TI00423
SE00424,2025-11-19 18:05:48.670617,Clear,TI00424
SE00425,2025-11-19 19:05:48.670617,Clear,TI00425
SE00426,2025-11-19 17:05:48.670617,Clear,TI00426
SE00427,2025-11-19 17:05:48.670617,Clear,TI00427
SE00428,2025-11-19 18:05:48.670617,Clear,TI00428
SE00429,2025-11-19 17:05:48.670617,Clear,TI00429
SE00430,2025-11-19 17:05:48.670617,Clear,TI00430
SE00431,2025-11-19 18:05:48.670617,Clear,TI00431
SE00432,2025-11-19 19:05:48.670617,Clear,TI00432
SE00433,2025-11-19 17:05:48.670617,Clear,TI00433
SE00434,2025-11-19 17:05:48.670617,Clear,TI00434
SE00435,2025-11-19 19:05:48.670617,Clear,TI00435
SE00436,2025-11-19 19:05:48.670617,Clear,TI00436
SE00437,2025-11-19 19:05:48.670617,Clear,TI00437
SE00438,2025-11-19 17:05:48.670617,Clear,TI00438
SE00439,2025-11-19 18:05:48.670617,Clear,TI00439
SE00440,2025-11-19 17:05:48.670617,Clear,TI00440
SE00441,2025-11-19 19:05:48.670617,Clear,TI00441
SE00442,2025-11-19 17:05:48.670617,Clear,TI00442
SE00443,2025-11-19 18:05:48.670617,Clear,TI00443
SE00444,2025-11-19 17:05:48.670617,Clear,TI00444
SE00445,2025-11-19 18:05:48.670617,Clear,TI00445
SE00446,2025-11-19 19:05:48.670617,Clear,TI00446
SE00447,2025-11-19 18:05:48.670617,Clear,TI00447
SE00448,2025-11-19 19:05:48.670617,Clear,TI00448
SE00449,2025-11-19 18:05:48.670617,Clear,TI00449
SE00450,2025-11-19 19:05:48.670617,Clear,TI00450
SE00451,2025-11-19 19:05:48.670617,Clear,TI00451
SE00452,2025-11-19 19:05:48.670617,Clear,TI00452
SE00453,2025-11-19 19:05:48.670617,Clear,TI00453
SE00454,2025-11-19 17:05:48.670617,Clear,TI00454
SE00455,2025-11-19 17:05:48.670617,Clear,TI00455
SE00456,2025-11-19 18:05:48.670617,Clear,TI00456
SE00457,2025-11-19 18:05:48.670617,Clear,TI00457
SE00458,2025-11-19 19:05:48.670617,Clear,TI00458
SE00459,2025-11-19 18:05:48.670617,Clear,TI00459
SE00460,2025-11-19 17:05:48.670617,Clear,TI00460
SE00461,2025-11-19 19:05:48.670617,Clear,TI00461
SE00462,2025-11-19 17:05:48.670617,Clear,TI00462
