LuggageID,Weight,Status,TicketID
LG00193,18.56,Unloaded,TI00182
LG00194,13.16,Unloaded,TI00184
LG00195,30.21,Checked-In,TI00185
LG00196,19.49,Loaded,TI00185
LG00197,8.03,Unloaded,TI00186
LG00198,22.93,Loaded,TI00189
LG00199,16.94,Loaded,TI00189
LG00200,30.56,Unloaded,TI00190
LG00201,14.14,Unloaded,TI00190
LG00202,12.5,Checked-In,TI00191
LG00203,22.19,Unloaded,TI00192
LG00204,9.71,Loaded,TI00193
LG00205,27.61,Unloaded,TI00193
LG00206,15.36,Unloaded,TI00194
LG00207,17.43,Checked-In,TI00196
LG00208,22.04,Unloaded,TI00196
LG00209,17.3,Unloaded,TI00197
LG00210,17.87,Checked-In,TI00198
LG00211,22.53,Unloaded,TI00199
LG00212,10.14,Loaded,TI00199
LG00213,24.33,Checked-In,TI00200
LG00214,19.24,Unloaded,TI00200
LG00215,18.92,Loaded,TI00201
LG00216,27.85,Unloaded,TI00202
LG00217,18.58,Unloaded,TI00202
LG00218,8.62,Checked-In,TI00203
LG00219,26.53,Unloaded,TI00204
LG00220,21.68,Loaded,TI00205
LG00221,15.7,Loaded,TI00207
LG00222,12.34,Unloaded,TI00207
LG00223,13.71,Loaded,TI00209
LG00224,13.04,Unloaded,TI00210
LG00225,15.15,Checked-In,TI00211
LG00226,14.05,Checked-In,TI00212
LG00227,30.26,Checked-In,TI00212
LG00228,12.96,Checked-In,TI00213
LG00229,24.6,Checked-In,TI00213
LG00230,15.37,Checked-In,TI00214
LG00231,27.48,Loaded,TI00215
LG00232,28.29,Checked-In,TI00215
LG00233,30.36,Loaded,TI00216
LG00234,30.23,Unloaded,TI00216
LG00235,8.37,Unloaded,TI00217
LG00236,15.03,Unloaded,TI00218
LG00237,22.56,Loaded,TI00218
LG00238,17.58,Checked-In,TI00219
LG00239,27.83,Loaded,TI00220
LG00240,26.44,Loaded,TI00220
LG00241,8.9,Checked-In,TI00223
LG00242,11.81,Loaded,TI00223
LG00243,17.43,Checked-In,TI00224
LG00244,19.2,Loaded,TI00225
LG00245,19.33,Loaded,TI00227
LG00246,7.38,Checked-In,TI00228
LG00247,30.68,Unloaded,TI00233
LG00248,30.3,Checked-In,TI00234
LG00249,22.17,Unloaded,TI00234
LG00250,23.13,Checked-In,TI00235
LG00251,9.69,Loaded,TI00236
LG00252,20.46,Checked-In,TI00237
LG00253,28.46,Unloaded,TI00237
LG00254,9.02,Unloaded,TI00238
LG00255,17.31,Unloaded,TI00238
LG00256,21.91,Checked-In,TI00239
LG00257,26.34,Loaded,TI00240
LG00258,19.38,Unloaded,TI00240
LG00259,27.42,Unloaded,TI00241
LG00260,29.48,Checked-In,TI00242
LG00261,27.73,Loaded,TI00242
LG00262,28.32,Unloaded,TI00244
LG00263,8.25,Loaded,TI00244
LG00264,21.84,Checked-In,TI00245
LG00265,28.3,Loaded,TI00245
LG00266,8.72,Checked-In,TI00247
LG00267,24.89,Loaded,TI00247
LG00268,8.03,Checked-In,TI00248
LG00269,14.75,Loaded,TI00248
LG00270,12.63,Checked-In,TI00249
LG00271,12.92,Checked-In,TI00249
LG00272,27.72,Loaded,TI00250
LG00273,12.02,Loaded,TI00251
LG00274,18.98,Checked-In,TI00252
LG00275,14.9,Loaded,TI00254
LG00276,18.0,Checked-In,TI00254
LG00277,8.87,Loaded,TI00255
LG00278,25.49,Checked-In,TI00256
LG00279,7.92,Checked-In,TI00256
LG00280,13.85,Checked-In,TI00257
LG00281,15.13,Checked-In,TI00257
LG00282,10.74,Checked-In,TI00258
LG00283,7.08,Checked-In,TI00260
LG00284,28.34,Checked-In,TI00260
LG00285,25.54,Checked-In,TI00261
LG00286,13.69,Unloaded,TI00262
LG00287,29.3,Checked-In,TI00262
LG00288,28.69,Checked-In,TI00263
LG00289,22.88,Loaded,TI00264
LG00290,7.34,Checked-In,TI00265
LG00291,31.88,Unloaded,TI00265
LG00292,7.47,Loaded,TI00267
LG00293,20.03,Unloaded,TI00268
LG00294,9.36,Loaded,TI00269
LG00295,27.56,Checked-In,TI00271
LG00296,26.16,Loaded,TI00271
LG00297,30.48,Unloaded,TI00272
LG00298,19.56,Unloaded,TI00273
LG00299,29.89,Unloaded,TI00274
LG00300,7.22,Unloaded,TI00278
LG00301,20.54,Checked-In,TI00281
LG00302,24.11,Loaded,TI00282
LG00303,15.17,Unloaded,TI00283
LG00304,12.5,Checked-In,TI00283
LG00305,28.0,Checked-In,TI00284
LG00306,15.2,Loaded,TI00285
LG00307,14.89,Checked-In,TI00285
LG00308,8.58,Unloaded,TI00286
LG00309,8.49,Checked-In,TI00287
LG00310,30.64,Loaded,TI00288
LG00311,22.95,Loaded,TI00288
LG00312,19.94,Loaded,TI00289
LG00313,22.32,Loaded,TI00290
LG00314,21.28,Unloaded,TI00290
LG00315,30.93,Loaded,TI00291
LG00316,28.82,Loaded,TI00291
LG00317,28.13,Checked-In,TI00293
LG00318,14.54,Unloaded,TI00294
LG00319,17.12,Unloaded,TI00294
LG00320,22.58,Checked-In,TI00295
LG00321,11.73,Loaded,TI00295
LG00322,11.6,Checked-In,TI00297
LG00323,19.33,Loaded,TI00297
LG00324,11.44,Loaded,TI00299
LG00325,10.07,Unloaded,TI00299
LG00326,26.06,Checked-In,TI00300
LG00327,25.46,Unloaded,TI00300
LG00328,8.61,Checked-In,TI00301
LG00329,30.24,Unloaded,TI00301
LG00330,30.84,Checked-In,TI00302
LG00331,16.68,Loaded,TI00303
LG00332,17.64,Checked-In,TI00303
LG00333,11.07,Unloaded,TI00304
LG00334,15.78,Unloaded,TI00306
LG00335,11.25,Checked-In,TI00308
LG00336,8.82,Checked-In,TI00308
LG00337,20.53,Loaded,TI00309
LG00338,18.72,Unloaded,TI00310
LG00339,29.13,Unloaded,TI00311
LG00340,19.28,Loaded,TI00312
LG00341,8.36,Checked-In,TI00315
LG00342,9.79,Unloaded,TI00315
LG00343,30.94,Loaded,TI00317
LG00344,22.21,Checked-In,TI00318
LG00345,29.47,Loaded,TI00319
LG00346,9.99,Checked-In,TI00319
LG00347,15.02,Loaded,TI00320
LG00348,19.29,Checked-In,TI00321
LG00349,31.45,Unloaded,TI00321
LG00350,13.5,Unloaded,TI00322
LG00351,23.97,Unloaded,TI00322
LG00352,7.36,Loaded,TI00323
LG00353,15.67,Checked-In,TI00323
LG00354,11.66,Loaded,TI00324
LG00355,7.26,Unloaded,TI00324
LG00356,21.85,Loaded,TI00326
LG00357,17.02,Loaded,TI00326
LG00358,14.91,Loaded,TI00330
LG00359,13.71,Loaded,TI00330
LG00360,15.47,Unloaded,TI00332
LG00361,8.28,Unloaded,TI00332
LG00362,7.62,Unloaded,TI00333
LG00363,7.34,Unloaded,TI00334
LG00364,29.36,Unloaded,TI00336
LG00365,28.7,Unloaded,TI00337
LG00366,10.27,Checked-In,TI00337
LG00367,30.48,Checked-In,TI00340
LG00368,24.88,Checked-In,TI00340
LG00369,27.13,Unloaded,TI00341
LG00370,29.72,Unloaded,TI00341
LG00371,27.57,Unloaded,TI00342
LG00372,18.22,Checked-In,TI00343
LG00373,7.31,Loaded,TI00344
LG00374,23.76,Unloaded,TI00346
LG00375,23.12,Checked-In,TI00346
LG00376,16.79,Checked-In,TI00347
LG00377,19.65,Loaded,TI00347
LG00378,14.87,Checked-In,TI00348
LG00379,15.88,Loaded,TI00350
LG00380,13.33,Loaded,TI00351
LG00381,20.58,Checked-In,TI00351
LG00382,31.22,Loaded,TI00352
LG00383,26.67,Checked-In,TI00354
LG00384,19.04,Checked-In,TI00355
LG00385,8.42,Checked-In,TI00356
LG00386,25.73,Checked-In,TI00356
LG00387,15.29,Loaded,TI00358
LG00388,30.2,Unloaded,TI00358
LG00389,20.01,Checked-In,TI00359
LG00390,28.95,Loaded,TI00364
LG00391,12.92,Loaded,TI00364
LG00392,30.06,Unloaded,TI00365
LG00393,18.36,Unloaded,TI00366
LG00394,10.24,Checked-In,TI00367
LG00395,11.8,Checked-In,TI00369
LG00396,21.32,Unloaded,TI00369
LG00397,24.52,Loaded,TI00370
LG00398,9.96,Unloaded,TI00370
LG00399,25.71,Loaded,TI00371
LG00400,17.03,Checked-In,TI00371
LG00401,31.84,Checked-In,TI00372
LG00402,27.54,Checked-In,TI00373
LG00403,13.05,Unloaded,TI00374
LG00404,19.38,Unloaded,TI00375
LG00405,15.97,Loaded,TI00375
LG00406,13.38,Unloaded,TI00376
LG00407,26.1,Checked-In,TI00377
LG00408,15.12,Checked-In,TI00378
LG00409,16.11,Loaded,TI00380
LG00410,25.7,Loaded,TI00380
LG00411,7.42,Checked-In,TI00384
LG00412,8.4,Checked-In,TI00384
LG00413,25.82,Loaded,TI00387
LG00414,29.41,Checked-In,TI00387
LG00415,23.66,Loaded,TI00388
LG00416,22.69,Checked-In,TI00389
LG00417,9.46,Unloaded,TI00390
LG00418,17.91,Loaded,TI00390
LG00419,11.4,Unloaded,TI00391
LG00420,10.05,Loaded,TI00391
LG00421,13.61,Checked-In,TI00392
LG00422,18.7,Checked-In,TI00394
LG00423,16.05,Checked-In,TI00395
LG00424,19.49,Unloaded,TI00396
LG00425,10.78,Unloaded,TI00398
LG00426,27.64,Unloaded,TI00398
LG00427,15.39,Loaded,TI00399
LG00428,10.52,Loaded,TI00401
LG00429,22.48,Checked-In,TI00402
LG00430,17.73,Unloaded,TI00402
LG00431,13.52,Unloaded,TI00403
LG00432,18.38,Unloaded,TI00404
LG00433,26.14,Unloaded,TI00405
LG00434,30.87,Checked-In,TI00405
LG00435,11.47,Loaded,TI00408
LG00436,22.02,Unloaded,TI00408
LG00437,8.4,Checked-In,TI00409
LG00438,8.72,Checked-In,TI00409
LG00439,8.69,Checked-In,TI00411
LG00440,23.7,Loaded,TI00411
LG00441,25.79,Unloaded,TI00412
LG00442,31.56,Checked-In,TI00413
LG00443,25.37,Loaded,TI00413
LG00444,10.61,Checked-In,TI00414
LG00445,10.99,Loaded,TI00414
LG00446,27.24,Unloaded,TI00415
LG00447,12.25,Loaded,TI00416
LG00448,11.41,Loaded,TI00417
LG00449,26.76,Checked-In,TI00417
LG00450,21.62,Loaded,TI00419
LG00451,12.81,Checked-In,TI00420
LG00452,8.46,Unloaded,TI00421
LG00453,20.13,Checked-In,TI00423
LG00454,10.89,Checked-In,TI00424
LG00455,30.74,Checked-In,TI00425
LG00456,29.72,Unloaded,TI00427
LG00457,21.7,Unloaded,TI00428
LG00458,24.12,Checked-In,TI00428
LG00459,14.62,Loaded,TI00430
LG00460,23.06,Checked-In,TI00432
LG00461,23.47,Unloaded,TI00433
LG00462,9.81,Checked-In,TI00434
LG00463,8.63,Checked-In,TI00434
LG00464,19.3,Unloaded,TI00435
LG00465,14.54,Checked-In,TI00437
LG00466,27.25,Checked-In,TI00438
LG00467,8.38,Unloaded,TI00440
LG00468,27.09,Checked-In,TI00441
LG00469,17.8,Checked-In,TI00442
LG00470,15.57,Loaded,TI00443
LG00471,30.26,Loaded,TI00443
LG00472,9.51,Unloaded,TI00444
LG00473,17.02,Checked-In,TI00444
LG00474,15.78,Loaded,TI00446
LG00475,19.25,Checked-In,TI00446
LG00476,24.21,Unloaded,TI00447
LG00477,9.21,Unloaded,TI00448
LG00478,12.19,Unloaded,TI00449
LG00479,9.31,Loaded,TI00452
LG00480,21.43,Unloaded,TI00452
LG00481,24.04,Checked-In,TI00453
LG00482,10.6,Checked-In,TI00455
LG00483,29.16,Unloaded,TI00457
LG00484,10.81,Checked-In,TI00458
LG00485,24.1,Unloaded,TI00460
LG00486,28.99,Loaded,TI00460
LG00487,24.73,Unloaded,TI00461
LG00488,22.08,Loaded,TI00461
LG00489,14.99,Checked-In,TI00462
LG00490,30.07,Loaded,TI00463
LG00491,18.42,Unloaded,TI00465
LG00492,26.02,Loaded,TI00465
LG00493,13.45,Unloaded,TI00466
LG00494,28.37,Loaded,TI00467
LG00495,26.43,Unloaded,TI00467
LG00496,22.71,Checked-In,TI00468
LG00497,13.11,Unloaded,TI00468
LG00498,12.27,Checked-In,TI00469
LG00499,9.11,Unloaded,TI00470
LG00500,11.97,Unloaded,TI00472
LG00501,16.76,Loaded,TI00477
LG00502,9.18,Loaded,TI00478
LG00503,17.86,Unloaded,TI00480
LG00504,21.19,Loaded,TI00482
LG00505,26.83,Checked-In,TI00482
LG00506,24.85,Checked-In,TI00483
LG00507,18.35,Checked-In,TI00483
LG00508,15.69,Loaded,TI00485
LG00509,20.99,Unloaded,TI00485
LG00510,27.71,Loaded,TI00486
LG00511,10.63,Checked-In,TI00487
LG00512,28.83,Checked-In,TI00488
LG00513,21.39,Unloaded,TI00489
LG00514,20.77,Checked-In,TI00491
LG00515,25.85,Unloaded,TI00492
LG00516,11.6,Loaded,TI00494
LG00517,26.22,Unloaded,TI00494
LG00518,29.03,Checked-In,TI00495
LG00519,20.2,Unloaded,TI00496
LG00520,13.92,Checked-In,TI00497
LG00521,18.83,Checked-In,TI00498
LG00522,7.12,Unloaded,TI00498
LG00523,11.64,Unloaded,TI00500
LG00524,27.07,Checked-In,TI00500
LG00525,10.1,Loaded,TI00502
LG00526,22.39,Loaded,TI00503
LG00527,17.86,Checked-In,TI00503
LG00528,20.81,Checked-In,TI00504
LG00529,24.34,Unloaded,TI00504
LG00530,20.04,Unloaded,TI00505
LG00531,19.75,Unloaded,TI00505
LG00532,30.54,Checked-In,TI00507
LG00533,28.0,Checked-In,TI00509
LG00534,22.09,Checked-In,TI00511
LG00535,30.69,Unloaded,TI00512
LG00536,29.73,Loaded,TI00513
LG00537,20.28,Checked-In,TI00517
LG00538,17.18,Checked-In,TI00518
LG00539,29.88,Unloaded,TI00519
LG00540,29.81,Unloaded,TI00519
LG00541,20.66,Loaded,TI00521
LG00542,8.01,Unloaded,TI00522
LG00543,7.17,Checked-In,TI00523
LG00544,7.22,Checked-In,TI00523
LG00545,31.93,Loaded,TI00524
LG00546,20.15,Checked-In,TI00524
LG00547,17.19,Checked-In,TI00525
LG00548,10.85,Unloaded,TI00526
LG00549,17.94,Loaded,TI00526
LG00550,17.61,Loaded,TI00527
LG00551,27.86,Unloaded,TI00529
LG00552,9.48,Loaded,TI00533
LG00553,12.97,Loaded,TI00534
LG00554,29.49,Loaded,TI00535
LG00555,10.83,Loaded,TI00535
LG00556,29.5,Unloaded,TI00536
LG00557,18.67,Loaded,TI00536
LG00558,29.0,Unloaded,TI00538
LG00559,14.96,Unloaded,TI00538
LG00560,28.86,Checked-In,TI00539
LG00561,18.67,Checked-In,TI00539
LG00562,13.56,Unloaded,TI00540
LG00563,12.83,Checked-In,TI00540
LG00564,17.31,Unloaded,TI00541
LG00565,12.07,Checked-In,TI00541
LG00566,28.14,Checked-In,TI00542
LG00567,11.07,Loaded,TI00544
LG00568,22.57,Checked-In,TI00544
LG00569,11.51,Checked-In,TI00545
LG00570,24.5,Loaded,TI00545
LG00571,10.02,Checked-In,TI00546
LG00572,20.3,Checked-In,TI00547
LG00573,26.19,Loaded,TI00548
LG00574,26.81,Unloaded,TI00552
LG00575,10.69,Unloaded,TI00553
LG00576,13.29,Loaded,TI00553
LG00577,21.44,Checked-In,TI00554
LG00578,26.17,Checked-In,TI00554
LG00579,26.38,Checked-In,TI00555
LG00580,19.45,Checked-In,TI00555
LG00581,26.83,Loaded,TI00556
LG00582,23.02,Loaded,TI00558
LG00583,19.77,Unloaded,TI00559
LG00584,22.7,Unloaded,TI00559
LG00585,10.17,Checked-In,TI00560
LG00586,29.35,Loaded,TI00561
LG00587,9.99,Loaded,TI00561
LG00588,8.93,Unloaded,TI00562
LG00589,7.12,Loaded,TI00563
LG00590,8.23,Unloaded,TI00563
LG00591,11.76,Checked-In,TI00565
LG00592,18.32,Checked-In,TI00565
LG00593,27.09,Checked-In,TI00566
LG00594,25.73,Loaded,TI00567
LG00595,30.81,Checked-In,TI00568
LG00596,31.55,Unloaded,TI00568
LG00597,19.82,Unloaded,TI00569
LG00598,14.78,Unloaded,TI00569
LG00599,30.85,Unloaded,TI00570
LG00600,17.62,Checked-In,TI00570
LG00601,21.29,Unloaded,TI00571
LG00602,30.08,Unloaded,TI00572
LG00603,31.75,Checked-In,TI00572
LG00604,13.29,Loaded,TI00573
LG00605,28.99,Loaded,TI00573
LG00606,13.74,Unloaded,TI00574
LG00607,26.34,Loaded,TI00574
LG00608,26.31,Checked-In,TI00575
LG00609,27.62,Loaded,TI00576
LG00610,27.46,Unloaded,TI00576
LG00611,14.95,Checked-In,TI00577
LG00612,29.06,Unloaded,TI00577
LG00613,25.75,Checked-In,TI00578
LG00614,21.67,Unloaded,TI00578
LG00615,20.84,Checked-In,TI00579
LG00616,18.45,Loaded,TI00580
LG00617,29.98,Loaded,TI00580
LG00618,17.54,Unloaded,TI00581
LG00619,21.53,Unloaded,TI00582
LG00620,10.64,Unloaded,TI00584
LG00621,26.9,Checked-In,TI00584
LG00622,9.69,Loaded,TI00585
LG00623,24.93,Checked-In,TI00585
LG00624,12.75,Unloaded,TI00587
LG00625,19.47,Checked-In,TI00589
LG00626,8.04,Checked-In,TI00589
LG00627,17.2,Unloaded,TI00590
LG00628,15.26,Checked-In,TI00593
LG00629,21.54,Loaded,TI00595
LG00630,8.72,Unloaded,TI00596
LG00631,19.94,Checked-In,TI00596
LG00632,21.65,Checked-In,TI00597
LG00633,10.75,Unloaded,TI00599
LG00634,16.94,Checked-In,TI00599
LG00635,26.2,Unloaded,TI00600
LG00636,8.88,Checked-In,TI00603
LG00637,31.75,Unloaded,TI00603
LG00638,27.32,Unloaded,TI00604
LG00639,7.9,Checked-In,TI00605
LG00640,7.41,Loaded,TI00605
LG00641,27.26,Loaded,TI00606
LG00642,29.0,Checked-In,TI00606
LG00643,21.3,Checked-In,TI00607
LG00644,19.08,Unloaded,TI00607
LG00645,19.18,Unloaded,TI00608
LG00646,29.59,Checked-In,TI00608
LG00647,31.04,Unloaded,TI00611
LG00648,17.98,Loaded,TI00613
LG00649,25.9,Loaded,TI00614
LG00650,22.64,Loaded,TI00616
LG00651,13.01,Checked-In,TI00616
LG00652,26.02,Checked-In,TI00617
LG00653,13.34,Checked-In,TI00617
LG00654,10.52,Checked-In,TI00618
LG00655,22.2,Unloaded,TI00620
LG00656,30.31,Checked-In,TI00620
LG00657,22.38,Unloaded,TI00621
LG00658,12.37,Loaded,TI00621
LG00659,12.28,Loaded,TI00623
LG00660,20.11,Unloaded,TI00624
LG00661,14.45,Checked-In,TI00625
LG00662,13.98,Unloaded,TI00625
LG00663,26.62,Checked-In,TI00626
LG00664,23.99,Unloaded,TI00626
LG00665,13.92,Checked-In,TI00627
LG00666,16.62,Checked-In,TI00627
LG00667,26.88,Checked-In,TI00628
LG00668,19.88,Checked-In,TI00628
LG00669,21.94,Checked-In,TI00629
LG00670,28.23,Loaded,TI00629
LG00671,20.15,Unloaded,TI00630
LG00672,23.23,Loaded,TI00631
LG00673,10.56,Unloaded,TI00631
LG00674,17.11,Unloaded,TI00632
LG00675,8.94,Checked-In,TI00632
LG00676,23.9,Loaded,TI00633
LG00677,10.69,Unloaded,TI00634
LG00678,12.92,Checked-In,TI00634
LG00679,23.86,Loaded,TI00636
LG00680,18.17,Checked-In,TI00636
LG00681,7.3,Unloaded,TI00637
LG00682,23.38,Checked-In,TI00637
LG00683,18.62,Checked-In,TI00638
LG00684,17.81,Unloaded,TI00639
LG00685,14.1,Loaded,TI00639
LG00686,12.66,Loaded,TI00640
LG00687,10.77,Checked-In,TI00641
LG00688,14.24,Loaded,TI00641
LG00689,14.25,Checked-In,TI00642
LG00690,25.02,Unloaded,TI00642
LG00691,22.92,Unloaded,TI00644
LG00692,24.75,Unloaded,TI00645
LG00693,31.27,Unloaded,TI00646
LG00694,9.21,Checked-In,TI00647
LG00695,13.95,Unloaded,TI00648
LG00696,9.63,Checked-In,TI00649
LG00697,21.45,Checked-In,TI00650
LG00698,17.85,Unloaded,TI00651
LG00699,12.28,Checked-In,TI00652
LG00700,27.87,Unloaded,TI00653
LG00701,10.79,Unloaded,TI00653
LG00702,21.83,Loaded,TI00654
LG00703,8.18,Unloaded,TI00657
LG00704,29.38,Unloaded,TI00657
LG00705,9.87,Checked-In,TI00658
LG00706,22.95,Unloaded,TI00661
LG00707,23.71,Loaded,TI00662
LG00708,10.88,Loaded,TI00662
