SecurityLogID,RestrictedItemFound
SE01643,Liquid over 100ml
SE01643,Knife
SE01643,Lighter
SE01663,Knife
SE01663,Aerosol can
SE01672,Aerosol can
SE01672,Knife
SE01672,Battery pack
SE01675,Liquid over 100ml
SE01675,Knife
SE01676,Lighter
SE01701,Lighter
SE01701,Battery pack
SE01701,Liquid over 100ml
SE01708,Sharp object
SE01708,Knife
SE01708,Battery pack
SE01710,Sharp object
SE01710,Liquid over 100ml
SE01710,Aerosol can
SE01711,Sharp object
SE01718,Battery pack
SE01718,Lighter
SE01724,Lighter
SE01729,Sharp object
SE01732,Aerosol can
SE01739,Knife
SE01739,Liquid over 100ml
SE01739,Battery pack
SE01754,Sharp object
SE01761,Liquid over 100ml
SE01761,Aerosol can
SE01772,Sharp object
SE01772,Liquid over 100ml
SE01772,Knife
SE01782,Battery pack
SE01808,Liquid over 100ml
SE01808,Sharp object
SE01808,Aerosol can
SE01817,Sharp object
SE01824,Knife
SE01824,Liquid over 100ml
SE01824,Sharp object
SE01846,Liquid over 100ml
SE01846,Battery pack
SE01848,Battery pack
SE01865,Aerosol can
SE01865,Lighter
SE01865,Battery pack
SE01867,Lighter
SE01867,Sharp object
SE01874,Liquid over 100ml
SE01874,Sharp object
SE01874,Aerosol can
SE01877,Sharp object
SE01877,Battery pack
SE01877,Liquid over 100ml
SE01908,Battery pack
SE01908,Liquid over 100ml
SE01908,Aerosol can
SE01911,Knife
SE01911,Sharp object
SE01919,Aerosol can
SE01920,Knife
SE01920,Battery pack
SE01920,Sharp object
SE01929,Aerosol can
SE01929,Knife
SE01951,Liquid over 100ml
SE01951,Sharp object
SE01951,Aerosol can
SE01953,Liquid over 100ml
SE01954,Liquid over 100ml
SE01977,Sharp object
SE01977,Battery pack
SE01987,Battery pack
SE01987,Lighter
SE01995,Aerosol can
SE01995,Knife
SE02004,Knife
SE02004,Liquid over 100ml
SE02007,Aerosol can
SE02007,Sharp object
SE02007,Lighter
SE02012,Aerosol can
SE02012,Battery pack
SE02012,Lighter
SE02013,Sharp object
SE02013,Liquid over 100ml
SE02013,Aerosol can
SE02019,Lighter
SE02022,Lighter
SE02022,Knife
SE02022,Battery pack
SE02023,Sharp object
SE02023,Aerosol can
SE02023,Liquid over 100ml
SE02041,Sharp object
SE02066,Sharp object
SE02066,Battery pack
SE02066,Lighter
SE02072,Sharp object
SE02074,Liquid over 100ml
SE02076,Knife
SE02076,Aerosol can
SE02082,Battery pack
SE02082,Lighter
SE02082,Knife
SE02092,Aerosol can
SE02092,Lighter
SE02095,Liquid over 100ml
SE02095,Aerosol can
SE02103,Knife
SE02111,Knife
SE02111,Lighter
SE02111,Liquid over 100ml
SE02116,Liquid over 100ml
SE02119,Liquid over 100ml
SE02119,Battery pack
SE02119,Aerosol can
SE02165,Aerosol can
SE02165,Knife
SE02168,Lighter
SE02168,Battery pack
SE02198,Sharp object
SE02198,Battery pack
SE02198,Lighter
SE02203,Aerosol can
SE02203,Liquid over 100ml
SE02213,Battery pack
SE02213,Knife
SE02213,Aerosol can
SE02230,Liquid over 100ml
SE02230,Aerosol can
SE02233,Battery pack
SE02233,Aerosol can
SE02245,Sharp object
SE02248,Liquid over 100ml
SE02248,Sharp object
SE02248,Battery pack
SE02252,Sharp object
SE02252,Liquid over 100ml
SE02255,Sharp object
SE02255,Lighter
SE02255,Aerosol can
SE02293,Knife
SE02293,Battery pack
SE02300,Knife
SE02300,Sharp object
SE02300,Lighter
SE02307,Knife
SE02307,Liquid over 100ml
SE02307,Sharp object
SE02309,Liquid over 100ml
SE02309,Knife
SE02314,Aerosol can
SE02314,Sharp object
SE02314,Liquid over 100ml
SE02333,Knife
SE02338,Liquid over 100ml
SE02338,Battery pack
SE02350,Knife
SE02350,Sharp object
SE02359,Battery pack
SE02364,Knife
SE02364,Battery pack
SE02379,Lighter
SE02387,Lighter
SE02387,Aerosol can
SE02387,Sharp object
SE02400,Lighter
SE02400,Aerosol can
SE02403,Sharp object
SE02405,Aerosol can
SE02405,Liquid over 100ml
SE02410,Lighter
SE02414,Lighter
SE02414,Sharp object
SE02450,Liquid over 100ml
SE02462,Sharp object
SE02462,Lighter
SE02477,Liquid over 100ml
SE02488,Battery pack
SE02488,Lighter
SE02489,Sharp object
SE02494,Knife
SE02510,Battery pack
SE02510,Sharp object
SE02511,Knife
SE02511,Battery pack
SE02515,Sharp object
SE02515,Lighter
SE02515,Liquid over 100ml
SE02516,Knife
SE02516,Aerosol can
SE02516,Liquid over 100ml
SE02527,Sharp object
SE02527,Lighter
SE02533,Knife
SE02533,Lighter
SE02552,Battery pack
SE02552,Sharp object
SE02552,Aerosol can
SE02567,Liquid over 100ml
SE02583,Lighter
SE02583,Sharp object
SE02585,Liquid over 100ml
SE02585,Battery pack
SE02588,Liquid over 100ml
SE02588,Aerosol can
SE02588,Lighter
SE02589,Battery pack
SE02589,Liquid over 100ml
SE02589,Knife
SE02593,Lighter
SE02594,Liquid over 100ml
SE02594,Aerosol can
SE02629,Knife
SE02629,Sharp object
SE02634,Battery pack
SE02634,Sharp object
SE02634,Aerosol can
SE02640,Sharp object
SE02640,Liquid over 100ml
SE02644,Lighter
SE02647,Battery pack
SE02647,Aerosol can
SE02650,Liquid over 100ml
SE02650,Sharp object
SE02652,Knife
SE02652,Sharp object
SE02653,Lighter
SE02655,Battery pack
SE02656,Battery pack
SE02656,Lighter
SE02656,Liquid over 100ml
SE02657,Battery pack
SE02657,Aerosol can
SE02665,Battery pack
SE02665,Aerosol can
SE02665,Liquid over 100ml
SE02679,Aerosol can
SE02679,Knife
SE02679,Liquid over 100ml
SE02680,Sharp object
SE02702,Battery pack
SE02705,Battery pack
SE02715,Knife
SE02737,Knife
SE02739,Battery pack
SE02740,Knife
SE02740,Lighter
SE02740,Battery pack
SE02751,Liquid over 100ml
SE02751,Lighter
SE02764,Aerosol can
SE02764,Sharp object
SE02764,Lighter
SE02775,Battery pack
SE02775,Liquid over 100ml
SE02776,Sharp object
SE02776,Liquid over 100ml
SE02812,Aerosol can
SE02812,Battery pack
SE02812,Knife
SE02827,Sharp object
SE02827,Aerosol can
SE02830,Aerosol can
SE02830,Liquid over 100ml
SE02830,Lighter
SE02834,Battery pack
SE02834,Liquid over 100ml
SE02834,Aerosol can
SE02861,Battery pack
SE02861,Sharp object
SE02867,Liquid over 100ml
SE02867,Sharp object
SE02867,Lighter
SE02868,Liquid over 100ml
SE02868,Battery pack
SE02868,Knife
SE02913,Aerosol can
SE02913,Sharp object
SE02914,Sharp object
SE02914,Lighter
SE02914,Liquid over 100ml
SE02915,Aerosol can
SE02929,Battery pack
SE02929,Lighter
SE02953,Liquid over 100ml
SE02953,Lighter
SE02953,Sharp object
SE02970,Knife
SE02970,Lighter
SE02970,Aerosol can
SE02975,Liquid over 100ml
SE02975,Sharp object
SE02984,Liquid over 100ml
SE02986,Liquid over 100ml
SE02986,Battery pack
SE02986,Knife
SE02994,Battery pack
SE02994,Knife
SE02998,Liquid over 100ml
SE03001,Knife
SE03009,Aerosol can
SE03009,Sharp object
SE03011,Aerosol can
SE03011,Knife
SE03016,Lighter
SE03016,Battery pack
SE03039,Lighter
SE03039,Aerosol can
SE03058,Liquid over 100ml
SE03058,Battery pack
SE03058,Sharp object
SE03059,Sharp object
SE03059,Lighter
SE03059,Liquid over 100ml
SE03063,Aerosol can
SE03063,Lighter
SE03069,Battery pack
SE03069,Aerosol can
SE03069,Liquid over 100ml
SE03093,Lighter
SE03093,Knife
SE03105,Sharp object
SE03112,Aerosol can
SE03112,Battery pack
SE03112,Sharp object
SE03115,Lighter
SE03134,Lighter
SE03134,Aerosol can
SE03134,Sharp object
SE03138,Sharp object
SE03142,Sharp object
SE03142,Battery pack
SE03142,Liquid over 100ml
SE03143,Liquid over 100ml
SE03143,Lighter
SE03143,Aerosol can
SE03145,Knife
SE03145,Sharp object
SE03149,Lighter
SE03155,Aerosol can
SE03155,Sharp object
SE03155,Battery pack
SE03171,Lighter
SE03176,Lighter
SE03180,Knife
SE03197,Lighter
SE03197,Sharp object
SE03197,Knife
SE03205,Liquid over 100ml
SE03205,Knife
SE03211,Sharp object
SE03211,Aerosol can
SE03211,Lighter
SE03220,Sharp object
SE03220,Battery pack
SE03225,Knife
SE03225,Lighter
SE03225,Liquid over 100ml
SE03233,Knife
SE03244,Lighter
SE03244,Sharp object
SE03244,Aerosol can
SE03251,Aerosol can
SE03251,Battery pack
SE03260,Lighter
SE03266,Knife
SE03269,Liquid over 100ml
SE03269,Battery pack
SE03269,Lighter
SE03293,Lighter
SE03293,Sharp object
SE03293,Battery pack
SE03294,Lighter
SE03294,Aerosol can
SE03294,Sharp object
SE03295,Sharp object
SE03295,Battery pack
SE03301,Lighter
SE03304,Aerosol can
SE03304,Sharp object
SE03309,Lighter
SE03309,Sharp object
SE03339,Battery pack
SE03339,Lighter
SE03339,Sharp object
SE03373,Battery pack
SE03375,Knife
SE03375,Liquid over 100ml
SE03375,Aerosol can
SE03389,Aerosol can
SE03389,Sharp object
SE03389,Battery pack
SE03403,Aerosol can
SE03403,Lighter
SE03405,Liquid over 100ml
SE03405,Sharp object
SE03424,Battery pack
SE03424,Liquid over 100ml
SE03424,Knife
SE03426,Sharp object
SE03426,Knife
SE03426,Liquid over 100ml
SE03445,Liquid over 100ml
SE03445,Sharp object
SE03445,Battery pack
SE03446,Knife
SE03467,Battery pack
SE03479,Battery pack
SE03479,Sharp object
SE03481,Battery pack
SE03481,Liquid over 100ml
SE03481,Knife
SE03495,Lighter
SE03510,Aerosol can
SE03510,Liquid over 100ml
SE03518,Liquid over 100ml
SE03527,Sharp object
SE03543,Knife
SE03543,Battery pack
SE03543,Sharp object
SE03578,Liquid over 100ml
SE03585,Aerosol can
SE03586,Aerosol can
SE03586,Sharp object
SE03586,Liquid over 100ml
SE03607,Aerosol can
SE03631,Battery pack
SE03631,Lighter
SE03637,Liquid over 100ml
SE03647,Aerosol can
SE03661,Sharp object
SE03661,Liquid over 100ml
SE03661,Aerosol can
SE03662,Battery pack
SE03662,Knife
SE03689,Battery pack
SE03689,Liquid over 100ml
SE03690,Sharp object
SE03690,Knife
SE03696,Knife
SE03696,Lighter
SE03708,Knife
SE03708,Lighter
SE03721,Aerosol can
SE03734,Knife
SE03744,Aerosol can
SE03744,Battery pack
SE03751,Knife
SE03751,Aerosol can
SE03751,Liquid over 100ml
SE03765,Lighter
SE03765,Aerosol can
SE03765,Battery pack
SE03775,Lighter
SE03775,Aerosol can
SE03777,Aerosol can
SE03783,Sharp object
SE03783,Liquid over 100ml
SE03783,Lighter
SE03798,Aerosol can
SE03798,Sharp object
SE03811,Sharp object
SE03814,Sharp object
SE03818,Lighter
SE03818,Knife
SE03829,Battery pack
SE03829,Lighter
SE03838,Lighter
SE03838,Battery pack
SE03838,Knife
SE03855,Battery pack
SE03870,Aerosol can
SE03870,Sharp object
SE03880,Battery pack
SE03928,Battery pack
SE03928,Liquid over 100ml
SE03948,Sharp object
SE03956,Liquid over 100ml
SE03968,Liquid over 100ml
SE03971,Sharp object
SE03971,Knife
SE03971,Battery pack
SE03995,Lighter
SE04005,Aerosol can
SE04005,Sharp object
SE04005,Liquid over 100ml
SE04008,Battery pack
SE04008,Aerosol can
SE04011,Battery pack
SE04011,Lighter
SE04011,Sharp object
SE04014,Lighter
SE04014,Sharp object
SE04031,Battery pack
SE04031,Aerosol can
SE04031,Liquid over 100ml
SE04032,Battery pack
SE04032,Liquid over 100ml
SE04032,Aerosol can
SE04035,Liquid over 100ml
SE04035,Battery pack
SE04060,Lighter
SE04060,Aerosol can
SE04060,Liquid over 100ml
SE04078,Sharp object
SE04078,Aerosol can
SE04078,Knife
SE04099,Battery pack
SE04099,Knife
SE04102,Sharp object
SE04102,Liquid over 100ml
SE04102,Aerosol can
SE04127,Sharp object
SE04127,Lighter
SE04127,Aerosol can
SE04129,Lighter
SE04129,Aerosol can
SE04129,Knife
SE04145,Sharp object
SE04152,Battery pack
SE04152,Sharp object
SE04159,Lighter
SE04161,Sharp object
SE04161,Battery pack
SE04174,Battery pack
SE04183,Liquid over 100ml
SE04183,Knife
SE04194,Aerosol can
SE04194,Sharp object
SE04212,Battery pack
SE04212,Aerosol can
SE04217,Sharp object
SE04218,Knife
SE04218,Battery pack
SE04218,Sharp object
SE04225,Sharp object
SE04225,Battery pack
SE04227,Lighter
SE04238,Knife
SE04263,Knife
SE04268,Battery pack
SE04268,Liquid over 100ml
SE04271,Lighter
SE04272,Sharp object
SE04272,Liquid over 100ml
SE04272,Lighter
SE04301,Aerosol can
SE04301,Sharp object
SE04319,Knife
SE04320,Sharp object
SE04320,Battery pack
SE04321,Liquid over 100ml
SE04321,Sharp object
SE04342,Liquid over 100ml
SE04342,Lighter
SE04342,Aerosol can
SE04343,Lighter
SE04343,Liquid over 100ml
SE04343,Sharp object
SE04354,Lighter
SE04365,Aerosol can
SE04365,Lighter
SE04365,Liquid over 100ml
SE04377,Liquid over 100ml
SE04377,Battery pack
SE04392,Knife
SE04426,Lighter
SE04428,Lighter
SE04435,Battery pack
SE04436,Lighter
SE04439,Lighter
SE04457,Aerosol can
SE04457,Lighter
SE04457,Battery pack
SE04458,Lighter
SE04458,Liquid over 100ml
SE04459,Battery pack
SE04459,Lighter
SE04459,Liquid over 100ml
SE04469,Lighter
SE04469,Knife
SE04469,Liquid over 100ml
SE04473,Battery pack
SE04473,Sharp object
SE04473,Knife
SE04474,Battery pack
SE04474,Sharp object
SE04492,Liquid over 100ml
SE04497,Sharp object
SE04501,Knife
SE04501,Liquid over 100ml
SE04528,Lighter
SE04531,Liquid over 100ml
SE04531,Knife
SE04531,Aerosol can
SE04532,Aerosol can
SE04552,Knife
SE04552,Aerosol can
SE04552,Sharp object
SE04557,Liquid over 100ml
SE04557,Lighter
SE04557,Knife
SE04563,Battery pack
SE04563,Aerosol can
SE04585,Lighter
SE04585,Knife
SE04594,Battery pack
SE04594,Sharp object
SE04600,Liquid over 100ml
SE04603,Lighter
SE04603,Sharp object
SE04603,Battery pack
SE04619,Battery pack
SE04625,Knife
SE04625,Liquid over 100ml
SE04638,Liquid over 100ml
SE04648,Knife
SE04649,Lighter
SE04649,Knife
SE04652,Liquid over 100ml
SE04652,Sharp object
SE04665,Lighter
SE04665,Sharp object
SE04669,Battery pack
SE04669,Lighter
SE04672,Aerosol can
SE04672,Lighter
SE04682,Liquid over 100ml
SE04682,Battery pack
SE04700,Lighter
SE04703,Battery pack
SE04703,Knife
SE04737,Battery pack
SE04743,Battery pack
SE04743,Knife
SE04749,Battery pack
SE04749,Lighter
SE04756,Lighter
SE04758,Sharp object
SE04760,Battery pack
SE04760,Lighter
SE04760,Sharp object
SE04765,Liquid over 100ml
SE04765,Knife
SE04774,Battery pack
SE04774,Sharp object
SE04774,Liquid over 100ml
SE04804,Sharp object
SE04804,Battery pack
SE04804,Knife
SE04811,Battery pack
SE04832,Sharp object
SE04833,Knife
SE04833,Lighter
SE04833,Sharp object
SE04835,Aerosol can
SE04835,Knife
SE04835,Sharp object
SE04846,Knife
SE04846,Aerosol can
SE04846,Liquid over 100ml
SE04859,Sharp object
SE04896,Battery pack
SE04903,Sharp object
SE04903,Lighter
SE04903,Aerosol can
SE04910,Lighter
SE04914,Liquid over 100ml
SE04917,Battery pack
SE04925,Lighter
SE04928,Sharp object
SE04928,Liquid over 100ml
SE04930,Sharp object
SE04930,Knife
SE04930,Battery pack
SE04937,Sharp object
SE04937,Knife
SE04937,Aerosol can
SE04944,Liquid over 100ml
SE04944,Lighter
SE04948,Lighter
SE04948,Knife
SE04949,Aerosol can
SE04957,Knife
SE04958,Knife
SE04958,Liquid over 100ml
SE04961,Knife
SE04961,Sharp object
SE04968,Aerosol can
SE04968,Liquid over 100ml
SE04968,Knife
SE04990,Battery pack
SE04990,Aerosol can
SE04990,Sharp object
SE05000,Aerosol can
SE05000,Lighter
SE05000,Sharp object
SE05024,Battery pack
SE05024,Liquid over 100ml
SE05024,Sharp object
SE05025,Liquid over 100ml
SE05025,Sharp object
SE05025,Lighter
SE05029,Aerosol can
SE05029,Battery pack
SE05038,Sharp object
SE05038,Knife
SE05038,Lighter
SE05044,Aerosol can
SE05055,Knife
SE05055,Liquid over 100ml
SE05067,Knife
SE05067,Battery pack
SE05075,Battery pack
SE05075,Aerosol can
SE05078,Battery pack
SE05078,Lighter
SE05081,Lighter
SE05081,Battery pack
SE05081,Knife
SE05110,Aerosol can
SE05126,Battery pack
SE05126,Aerosol can
SE05127,Liquid over 100ml
SE05159,Lighter
SE05159,Liquid over 100ml
SE05159,Knife
SE05163,Knife
SE05163,Liquid over 100ml
SE05163,Aerosol can
SE05165,Knife
SE05165,Sharp object
SE05167,Battery pack
SE05170,Aerosol can
SE05170,Knife
SE05173,Battery pack
SE05173,Knife
SE05173,Aerosol can
SE05175,Knife
SE05175,Sharp object
SE05175,Lighter
SE05184,Knife
SE05184,Lighter
SE05184,Sharp object
SE05188,Battery pack
SE05188,Aerosol can
SE05205,Sharp object
SE05205,Aerosol can
SE05237,Knife
SE05243,Lighter
SE05245,Sharp object
SE05259,Lighter
SE05277,Liquid over 100ml
SE05277,Sharp object
SE05277,Knife
SE05311,Battery pack
SE05311,Sharp object
SE05311,Aerosol can
SE05312,Battery pack
SE05314,Liquid over 100ml
SE05314,Sharp object
SE05316,Sharp object
SE05316,Knife
SE05319,Sharp object
SE05319,Liquid over 100ml
SE05352,Battery pack
SE05356,Lighter
SE05362,Lighter
SE05374,Sharp object
SE05374,Lighter
SE05378,Knife
SE05378,Battery pack
SE05378,Liquid over 100ml
SE05404,Liquid over 100ml
SE05404,Aerosol can
SE05404,Lighter
SE05421,Liquid over 100ml
SE05421,Battery pack
SE05434,Lighter
SE05434,Sharp object
SE05442,Battery pack
SE05442,Aerosol can
SE05448,Sharp object
SE05457,Lighter
SE05457,Sharp object
SE05457,Battery pack
SE05458,Aerosol can
SE05471,Aerosol can
SE05474,Battery pack
SE05474,Sharp object
SE05484,Liquid over 100ml
SE05498,Knife
SE05498,Battery pack
SE05498,Lighter
SE05507,Liquid over 100ml
SE05507,Knife
SE05507,Lighter
SE05508,Sharp object
SE05512,Knife
SE05512,Battery pack
SE05512,Lighter
SE05513,Knife
SE05513,Liquid over 100ml
SE05524,Aerosol can
SE05529,Lighter
SE05529,Knife
SE05529,Battery pack
SE05541,Aerosol can
SE05541,Knife
SE05546,Battery pack
SE05548,Aerosol can
SE05548,Liquid over 100ml
SE05548,Lighter
SE05551,Knife
SE05556,Battery pack
SE05556,Liquid over 100ml
SE05558,Knife
SE05590,Lighter
SE05608,Lighter
SE05616,Aerosol can
SE05616,Knife
SE05616,Sharp object
SE05626,Battery pack
SE05626,Liquid over 100ml
SE05626,Aerosol can
SE05627,Battery pack
SE05627,Knife
SE05635,Knife
SE05635,Sharp object
SE05657,Lighter
SE05658,Knife
SE05658,Aerosol can
SE05658,Sharp object
SE05675,Sharp object
SE05693,Lighter
SE05693,Liquid over 100ml
SE05693,Knife
SE05694,Sharp object
SE05695,Knife
SE05695,Lighter
SE05701,Battery pack
SE05701,Liquid over 100ml
SE05706,Aerosol can
SE05712,Sharp object
SE05713,Lighter
SE05713,Battery pack
SE05720,Battery pack
SE05720,Sharp object
SE05720,Aerosol can
SE05736,Battery pack
SE05736,Sharp object
SE05736,Liquid over 100ml
SE05746,Liquid over 100ml
SE05746,Knife
SE05779,Battery pack
SE05781,Sharp object
SE05853,Battery pack
SE05853,Sharp object
SE05857,Battery pack
SE05857,Liquid over 100ml
SE05857,Aerosol can
SE05893,Battery pack
SE05893,Aerosol can
SE05896,Lighter
SE05922,Liquid over 100ml
SE05922,Aerosol can
SE05922,Knife
SE05926,Sharp object
SE05943,Liquid over 100ml
SE05943,Lighter
SE05943,Knife
SE05957,Sharp object
SE05957,Lighter
SE05966,Knife
SE05972,Battery pack
SE05987,Sharp object
SE05989,Sharp object
SE05989,Knife
SE06001,Liquid over 100ml
SE06009,Aerosol can
SE06009,Battery pack
SE06010,Sharp object
SE06010,Aerosol can
SE06010,Liquid over 100ml
SE06016,Liquid over 100ml
SE06016,Lighter
SE06016,Sharp object
SE06017,Sharp object
SE06022,Knife
SE06022,Sharp object
SE06022,Liquid over 100ml
SE06032,Battery pack
SE06032,Aerosol can
SE06046,Sharp object
SE06046,Battery pack
SE06060,Battery pack
SE06060,Liquid over 100ml
SE06075,Aerosol can
SE06086,Aerosol can
SE06092,Sharp object
SE06092,Battery pack
SE06096,Lighter
SE06096,Liquid over 100ml
SE06112,Knife
SE06112,Liquid over 100ml
SE06117,Lighter
SE06117,Battery pack
SE06120,Sharp object
SE06122,Knife
SE06122,Liquid over 100ml
SE06122,Aerosol can
SE06128,Knife
SE06158,Sharp object
SE06158,Liquid over 100ml
SE06166,Sharp object
SE06166,Battery pack
SE06166,Knife
SE06174,Knife
SE06185,Aerosol can
SE06185,Sharp object
SE06189,Knife
SE06189,Aerosol can
SE06241,Aerosol can
SE06241,Lighter
SE06242,Knife
SE06249,Knife
SE06249,Aerosol can
SE06249,Battery pack
SE06251,Liquid over 100ml
SE06251,Sharp object
SE06251,Battery pack
SE06252,Lighter
SE06252,Liquid over 100ml
SE06271,Liquid over 100ml
SE06271,Battery pack
SE06275,Liquid over 100ml
SE06289,Aerosol can
SE06292,Battery pack
SE06292,Lighter
SE06292,Knife
SE06294,Battery pack
SE06294,Lighter
SE06294,Liquid over 100ml
SE06298,Aerosol can
SE06298,Battery pack
SE06299,Lighter
SE06299,Liquid over 100ml
SE06299,Knife
SE06306,Sharp object
SE06309,Sharp object
SE06317,Lighter
SE06317,Battery pack
SE06317,Aerosol can
SE06330,Liquid over 100ml
SE06339,Knife
SE06341,Knife
SE06341,Sharp object
SE06341,Aerosol can
SE06345,Knife
SE06345,Aerosol can
SE06345,Lighter
