PassengerID,TravelHistory
PA00031,Flew to Phu Quoc on 2025-11-20 (Flight FL00026)
PA00032,Flew to Da Nang on 2025-11-21 (Flight FL00092)
PA00033,Flew to Hanoi on 2025-11-20 (Flight FL00099)
PA00034,Flew to Seoul on 2025-11-20 (Flight FL00195)
PA00035,Flew to Bangkok on 2025-11-21 (Flight FL00250)
PA00036,Flew to Melbourne on 2025-11-20 (Flight FL00076)
PA00037,Flew to Sydney on 2025-11-20 (Flight FL00098)
PA00038,Flew to Tokyo on 2025-11-21 (Flight FL00054)
PA00039,Flew to Seoul on 2025-11-21 (Flight FL00150)
PA00040,Flew to Paris on 2025-11-21 (Flight FL00156)
PA00041,Flew to London on 2025-11-21 (Flight FL00028)
PA00042,Flew to Seoul on 2025-11-20 (Flight FL00179)
PA00043,Flew to Singapore on 2025-11-21 (Flight FL00047)
PA00044,Flew to Dubai on 2025-11-21 (Flight FL00149)
PA00045,Flew to Bangkok on 2025-11-21 (Flight FL00124)
PA00046,Flew to Melbourne on 2025-11-20 (Flight FL00257)
PA00047,Flew to Dubai on 2025-11-21 (Flight FL00048)
PA00048,Flew to Bangkok on 2025-11-21 (Flight FL00250)
PA00049,Flew to Tokyo on 2025-11-20 (Flight FL00027)
PA00050,Flew to Hanoi on 2025-11-21 (Flight FL00037)
PA00051,Flew to Paris on 2025-11-21 (Flight FL00084)
PA00052,Flew to Dubai on 2025-11-20 (Flight FL00121)
PA00053,Flew to Tokyo on 2025-11-21 (Flight FL00060)
PA00054,Flew to Phu Quoc on 2025-11-20 (Flight FL00066)
PA00055,Flew to Singapore on 2025-11-20 (Flight FL00115)
PA00056,Flew to Dubai on 2025-11-21 (Flight FL00237)
PA00057,Flew to Tokyo on 2025-11-19 (Flight FL00177)
PA00058,Flew to Bangkok on 2025-11-20 (Flight FL00075)
PA00059,Flew to Sydney on 2025-11-21 (Flight FL00004)
PA00060,Flew to Taipei on 2025-11-19 (Flight FL00185)
PA00061,Flew to Seoul on 2025-11-20 (Flight FL00130)
PA00062,Flew to Hong Kong on 2025-11-21 (Flight FL00229)
PA00063,Flew to Tokyo on 2025-11-20 (Flight FL00082)
PA00064,Flew to Phu Quoc on 2025-11-20 (Flight FL00105)
PA00065,Flew to Hanoi on 2025-11-19 (Flight FL00033)
PA00066,Flew to Dubai on 2025-11-21 (Flight FL00258)
PA00067,Flew to Da Nang on 2025-11-21 (Flight FL00133)
PA00068,Flew to Bangkok on 2025-11-21 (Flight FL00299)
PA00069,Flew to Phu Quoc on 2025-11-21 (Flight FL00214)
PA00070,Flew to Seoul on 2025-11-20 (Flight FL00195)
PA00071,Flew to London on 2025-11-20 (Flight FL00131)
PA00072,Flew to London on 2025-11-21 (Flight FL00021)
PA00073,Flew to Sydney on 2025-11-21 (Flight FL00306)
PA00074,Flew to Taipei on 2025-11-21 (Flight FL00321)
PA00075,Flew to Sydney on 2025-11-21 (Flight FL00079)
PA00076,Flew to Melbourne on 2025-11-21 (Flight FL00134)
PA00077,Flew to London on 2025-11-21 (Flight FL00028)
PA00078,Flew to Seoul on 2025-11-20 (Flight FL00195)
PA00079,Flew to Melbourne on 2025-11-21 (Flight FL00252)
PA00080,Flew to Seoul on 2025-11-20 (Flight FL00195)
PA00081,Flew to Da Nang on 2025-11-21 (Flight FL00329)
PA00082,Flew to London on 2025-11-21 (Flight FL00135)
PA00083,Flew to Sydney on 2025-11-21 (Flight FL00055)
PA00084,Flew to Phu Quoc on 2025-11-21 (Flight FL00165)
PA00085,Flew to Da Nang on 2025-11-20 (Flight FL00194)
PA00086,Flew to Seoul on 2025-11-21 (Flight FL00150)
PA00087,Flew to Tokyo on 2025-11-19 (Flight FL00177)
PA00088,Flew to Melbourne on 2025-11-21 (Flight FL00143)
PA00089,Flew to Sydney on 2025-11-21 (Flight FL00290)
PA00090,Flew to Dubai on 2025-11-21 (Flight FL00048)
PA00091,Flew to Melbourne on 2025-11-21 (Flight FL00143)
PA00092,Flew to Seoul on 2025-11-21 (Flight FL00150)
PA00093,Flew to Hong Kong on 2025-11-20 (Flight FL00068)
PA00094,Flew to Hanoi on 2025-11-19 (Flight FL00033)
PA00095,Flew to Melbourne on 2025-11-20 (Flight FL00218)
PA00096,Flew to Phu Quoc on 2025-11-20 (Flight FL00026)
PA00097,Flew to Hanoi on 2025-11-19 (Flight FL00033)
PA00098,Flew to Phu Quoc on 2025-11-21 (Flight FL00313)
PA00099,Flew to Hong Kong on 2025-11-20 (Flight FL00138)
PA00100,Flew to Tokyo on 2025-11-21 (Flight FL00069)
PA00101,Flew to Bangkok on 2025-11-20 (Flight FL00052)
PA00102,Flew to Hong Kong on 2025-11-20 (Flight FL00050)
PA00103,Flew to Bangkok on 2025-11-21 (Flight FL00268)
PA00104,Flew to Phu Quoc on 2025-11-21 (Flight FL00354)
PA00105,Flew to Dubai on 2025-11-21 (Flight FL00061)
PA00106,Flew to Singapore on 2025-11-20 (Flight FL00153)
PA00107,Flew to Bangkok on 2025-11-20 (Flight FL00052)
PA00108,Flew to Paris on 2025-11-21 (Flight FL00059)
PA00109,Flew to Phu Quoc on 2025-11-21 (Flight FL00214)
PA00110,Flew to Bangkok on 2025-11-20 (Flight FL00162)
PA00111,Flew to Melbourne on 2025-11-20 (Flight FL00076)
PA00112,Flew to Tokyo on 2025-11-21 (Flight FL00220)
PA00113,Flew to Phu Quoc on 2025-11-21 (Flight FL00330)
PA00114,Flew to Seoul on 2025-11-20 (Flight FL00195)
PA00115,Flew to Tokyo on 2025-11-21 (Flight FL00069)
PA00116,Flew to Sydney on 2025-11-21 (Flight FL00180)
PA00117,Flew to Da Nang on 2025-11-21 (Flight FL00133)
PA00118,Flew to Tokyo on 2025-11-21 (Flight FL00029)
PA00119,Flew to Bangkok on 2025-11-21 (Flight FL00353)
PA00120,Flew to London on 2025-11-21 (Flight FL00282)
PA00121,Flew to Seoul on 2025-11-21 (Flight FL00014)
PA00122,Flew to Seoul on 2025-11-21 (Flight FL00150)
PA00123,Flew to Bangkok on 2025-11-21 (Flight FL00077)
PA00124,Flew to Sydney on 2025-11-21 (Flight FL00079)
PA00125,Flew to London on 2025-11-21 (Flight FL00021)
PA00126,Flew to Dubai on 2025-11-21 (Flight FL00048)
PA00127,Flew to Paris on 2025-11-21 (Flight FL00243)
PA00128,Flew to Seoul on 2025-11-20 (Flight FL00147)
PA00129,Flew to Phu Quoc on 2025-11-21 (Flight FL00330)
PA00130,Flew to London on 2025-11-21 (Flight FL00021)
PA00131,Flew to Paris on 2025-11-21 (Flight FL00346)
PA00132,Flew to Seoul on 2025-11-21 (Flight FL00150)
PA00133,Flew to Bangkok on 2025-11-21 (Flight FL00250)
PA00134,Flew to Tokyo on 2025-11-21 (Flight FL00155)
PA00135,Flew to Sydney on 2025-11-21 (Flight FL00221)
PA00136,Flew to Singapore on 2025-11-21 (Flight FL00157)
PA00137,Flew to Sydney on 2025-11-21 (Flight FL00004)
PA00138,Flew to Phu Quoc on 2025-11-21 (Flight FL00125)
PA00139,Flew to Tokyo on 2025-11-20 (Flight FL00234)
PA00140,Flew to Tokyo on 2025-11-19 (Flight FL00201)
PA00141,Flew to Bangkok on 2025-11-21 (Flight FL00124)
PA00142,Flew to Hong Kong on 2025-11-21 (Flight FL00229)
PA00143,Flew to Phu Quoc on 2025-11-21 (Flight FL00108)
PA00144,Flew to Taipei on 2025-11-20 (Flight FL00219)
PA00145,Flew to London on 2025-11-21 (Flight FL00116)
PA00146,Flew to London on 2025-11-21 (Flight FL00314)
PA00147,Flew to Sydney on 2025-11-21 (Flight FL00004)
PA00148,Flew to Phu Quoc on 2025-11-21 (Flight FL00283)
PA00149,Flew to Seoul on 2025-11-21 (Flight FL00030)
PA00150,Flew to Da Nang on 2025-11-19 (Flight FL00073)
PA00151,Flew to Sydney on 2025-11-21 (Flight FL00004)
PA00152,Flew to Paris on 2025-11-21 (Flight FL00236)
PA00153,Flew to Tokyo on 2025-11-19 (Flight FL00177)
PA00154,Flew to Melbourne on 2025-11-20 (Flight FL00076)
PA00155,Flew to Paris on 2025-11-20 (Flight FL00273)
PA00156,Flew to Melbourne on 2025-11-20 (Flight FL00257)
PA00157,Flew to Paris on 2025-11-21 (Flight FL00086)
PA00158,Flew to London on 2025-11-21 (Flight FL00046)
PA00159,Flew to Phu Quoc on 2025-11-20 (Flight FL00035)
PA00160,Flew to Singapore on 2025-11-20 (Flight FL00010)
PA00161,Flew to Hanoi on 2025-11-21 (Flight FL00037)
PA00162,Flew to Da Nang on 2025-11-20 (Flight FL00211)
PA00163,Flew to Da Nang on 2025-11-20 (Flight FL00194)
PA00164,Flew to Bangkok on 2025-11-20 (Flight FL00067)
PA00165,Flew to Bangkok on 2025-11-21 (Flight FL00222)
PA00166,Flew to Melbourne on 2025-11-20 (Flight FL00257)
PA00167,Flew to Paris on 2025-11-21 (Flight FL00236)
PA00168,Flew to Phu Quoc on 2025-11-21 (Flight FL00125)
PA00169,Flew to Hanoi on 2025-11-21 (Flight FL00071)
PA00170,Flew to London on 2025-11-21 (Flight FL00314)
PA00171,Flew to Seoul on 2025-11-20 (Flight FL00204)
PA00172,Flew to London on 2025-11-21 (Flight FL00314)
PA00173,Flew to Da Nang on 2025-11-20 (Flight FL00041)
PA00174,Flew to Seoul on 2025-11-20 (Flight FL00179)
PA00175,Flew to Da Nang on 2025-11-20 (Flight FL00281)
PA00176,Flew to Tokyo on 2025-11-20 (Flight FL00169)
PA00177,Flew to Da Nang on 2025-11-21 (Flight FL00020)
PA00178,Flew to London on 2025-11-21 (Flight FL00028)
PA00179,Flew to Bangkok on 2025-11-20 (Flight FL00186)
PA00180,Flew to Phu Quoc on 2025-11-20 (Flight FL00051)
PA00181,Flew to Sydney on 2025-11-21 (Flight FL00079)
PA00182,Flew to Sydney on 2025-11-21 (Flight FL00259)
PA00183,Flew to Melbourne on 2025-11-21 (Flight FL00143)
PA00184,Flew to Tokyo on 2025-11-21 (Flight FL00101)
PA00185,Flew to Da Nang on 2025-11-19 (Flight FL00025)
PA00186,Flew to Singapore on 2025-11-20 (Flight FL00210)
PA00187,Flew to Phu Quoc on 2025-11-21 (Flight FL00125)
PA00188,Flew to Dubai on 2025-11-21 (Flight FL00237)
PA00189,Flew to Dubai on 2025-11-20 (Flight FL00145)
PA00190,Flew to Seoul on 2025-11-21 (Flight FL00014)
PA00191,Flew to Paris on 2025-11-21 (Flight FL00084)
PA00192,Flew to Bangkok on 2025-11-21 (Flight FL00250)
PA00193,Flew to Sydney on 2025-11-20 (Flight FL00074)
PA00194,Flew to Phu Quoc on 2025-11-21 (Flight FL00260)
PA00195,Flew to Paris on 2025-11-21 (Flight FL00346)
PA00196,Flew to Singapore on 2025-11-20 (Flight FL00010)
PA00197,Flew to Tokyo on 2025-11-20 (Flight FL00233)
PA00198,Flew to London on 2025-11-21 (Flight FL00046)
PA00199,Flew to Seoul on 2025-11-21 (Flight FL00150)
PA00200,Flew to Sydney on 2025-11-21 (Flight FL00369)
PA00201,Flew to Singapore on 2025-11-20 (Flight FL00010)
PA00202,Flew to Da Nang on 2025-11-19 (Flight FL00073)
PA00203,Flew to Hong Kong on 2025-11-20 (Flight FL00217)
PA00204,Flew to Phu Quoc on 2025-11-21 (Flight FL00108)
PA00205,Flew to Taipei on 2025-11-21 (Flight FL00181)
PA00206,Flew to Melbourne on 2025-11-20 (Flight FL00218)
PA00207,Flew to Tokyo on 2025-11-20 (Flight FL00027)
PA00208,Flew to Paris on 2025-11-21 (Flight FL00084)
PA00209,Flew to Tokyo on 2025-11-20 (Flight FL00082)
PA00210,Flew to Phu Quoc on 2025-11-20 (Flight FL00057)
PA00211,Flew to Hanoi on 2025-11-21 (Flight FL00071)
PA00212,Flew to Sydney on 2025-11-21 (Flight FL00306)
PA00213,Flew to Seoul on 2025-11-21 (Flight FL00030)
PA00214,Flew to Phu Quoc on 2025-11-20 (Flight FL00123)
PA00215,Flew to Phu Quoc on 2025-11-21 (Flight FL00313)
PA00216,Flew to London on 2025-11-21 (Flight FL00046)
PA00217,Flew to Hong Kong on 2025-11-19 (Flight FL00001)
PA00218,Flew to Da Nang on 2025-11-20 (Flight FL00211)
PA00219,Flew to Da Nang on 2025-11-20 (Flight FL00041)
PA00220,Flew to Paris on 2025-11-21 (Flight FL00361)
PA00221,Flew to Singapore on 2025-11-21 (Flight FL00006)
PA00222,Flew to Paris on 2025-11-21 (Flight FL00361)
PA00223,Flew to Hong Kong on 2025-11-19 (Flight FL00001)
PA00224,Flew to Hong Kong on 2025-11-20 (Flight FL00203)
PA00225,Flew to Phu Quoc on 2025-11-20 (Flight FL00066)
PA00226,Flew to Bangkok on 2025-11-21 (Flight FL00268)
PA00227,Flew to Hong Kong on 2025-11-21 (Flight FL00229)
PA00228,Flew to London on 2025-11-21 (Flight FL00141)
PA00229,Flew to Hong Kong on 2025-11-19 (Flight FL00161)
PA00230,Flew to Phu Quoc on 2025-11-21 (Flight FL00085)
PA00231,Flew to Melbourne on 2025-11-20 (Flight FL00226)
PA00232,Flew to Phu Quoc on 2025-11-21 (Flight FL00214)
PA00233,Flew to Da Nang on 2025-11-20 (Flight FL00107)
PA00234,Flew to London on 2025-11-20 (Flight FL00045)
PA00235,Flew to Taipei on 2025-11-20 (Flight FL00011)
PA00236,Flew to Phu Quoc on 2025-11-22 (Flight FL00007)
PA00237,Flew to Melbourne on 2025-11-20 (Flight FL00076)
PA00238,Flew to Seoul on 2025-11-20 (Flight FL00049)
PA00239,Flew to Singapore on 2025-11-21 (Flight FL00078)
PA00240,Flew to Hong Kong on 2025-11-20 (Flight FL00217)
PA00241,Flew to Melbourne on 2025-11-21 (Flight FL00228)
PA00242,Flew to Singapore on 2025-11-21 (Flight FL00036)
PA00243,Flew to Phu Quoc on 2025-11-20 (Flight FL00105)
PA00244,Flew to Hanoi on 2025-11-20 (Flight FL00099)
PA00245,Flew to Singapore on 2025-11-21 (Flight FL00036)
PA00246,Flew to Bangkok on 2025-11-21 (Flight FL00222)
PA00247,Flew to Da Nang on 2025-11-21 (Flight FL00133)
PA00248,Flew to Melbourne on 2025-11-21 (Flight FL00385)
PA00249,Flew to London on 2025-11-21 (Flight FL00046)
PA00250,Flew to Phu Quoc on 2025-11-21 (Flight FL00085)
PA00251,Flew to Sydney on 2025-11-21 (Flight FL00259)
PA00252,Flew to Da Nang on 2025-11-20 (Flight FL00107)
PA00253,Flew to Seoul on 2025-11-20 (Flight FL00018)
PA00254,Flew to Sydney on 2025-11-20 (Flight FL00114)
PA00255,Flew to Taipei on 2025-11-21 (Flight FL00181)
PA00256,Flew to Hong Kong on 2025-11-20 (Flight FL00050)
PA00257,Flew to Dubai on 2025-11-20 (Flight FL00106)
PA00258,Flew to Hanoi on 2025-11-21 (Flight FL00251)
PA00259,Flew to Tokyo on 2025-11-20 (Flight FL00170)
PA00260,Flew to Phu Quoc on 2025-11-21 (Flight FL00126)
PA00261,Flew to Paris on 2025-11-21 (Flight FL00289)
PA00262,Flew to Singapore on 2025-11-21 (Flight FL00291)
PA00263,Flew to Seoul on 2025-11-21 (Flight FL00150)
PA00264,Flew to Hanoi on 2025-11-19 (Flight FL00033)
PA00265,Flew to Phu Quoc on 2025-11-20 (Flight FL00105)
PA00266,Flew to Paris on 2025-11-21 (Flight FL00338)
PA00267,Flew to Hong Kong on 2025-11-21 (Flight FL00274)
PA00268,Flew to Phu Quoc on 2025-11-21 (Flight FL00126)
PA00269,Flew to Bangkok on 2025-11-21 (Flight FL00222)
PA00270,Flew to Tokyo on 2025-11-21 (Flight FL00155)
PA00271,Flew to Phu Quoc on 2025-11-20 (Flight FL00105)
PA00272,Flew to Bangkok on 2025-11-20 (Flight FL00186)
PA00273,Flew to Bangkok on 2025-11-21 (Flight FL00124)
PA00274,Flew to Sydney on 2025-11-21 (Flight FL00212)
PA00275,Flew to Da Nang on 2025-11-20 (Flight FL00107)
PA00276,Flew to Sydney on 2025-11-21 (Flight FL00212)
PA00277,Flew to London on 2025-11-21 (Flight FL00141)
PA00278,Flew to Melbourne on 2025-11-21 (Flight FL00228)
PA00279,Flew to Tokyo on 2025-11-21 (Flight FL00054)
PA00280,Flew to Da Nang on 2025-11-20 (Flight FL00139)
PA00281,Flew to London on 2025-11-20 (Flight FL00002)
PA00282,Flew to Taipei on 2025-11-21 (Flight FL00164)
PA00283,Flew to Hanoi on 2025-11-19 (Flight FL00009)
PA00284,Flew to London on 2025-11-20 (Flight FL00187)
PA00285,Flew to Sydney on 2025-11-21 (Flight FL00290)
PA00286,Flew to Bangkok on 2025-11-21 (Flight FL00222)
PA00287,Flew to Taipei on 2025-11-21 (Flight FL00321)
PA00288,Flew to Tokyo on 2025-11-21 (Flight FL00155)
PA00289,Flew to London on 2025-11-20 (Flight FL00187)
PA00290,Flew to Tokyo on 2025-11-20 (Flight FL00233)
PA00291,Flew to Singapore on 2025-11-20 (Flight FL00115)
PA00292,Flew to Seoul on 2025-11-21 (Flight FL00030)
PA00293,Flew to Singapore on 2025-11-20 (Flight FL00010)
PA00294,Flew to Hong Kong on 2025-11-20 (Flight FL00081)
PA00295,Flew to Tokyo on 2025-11-19 (Flight FL00177)
PA00296,Flew to Bangkok on 2025-11-21 (Flight FL00077)
PA00297,Flew to Dubai on 2025-11-21 (Flight FL00149)
PA00298,Flew to Singapore on 2025-11-21 (Flight FL00006)
PA00299,Flew to Singapore on 2025-11-21 (Flight FL00078)
PA00300,Flew to Sydney on 2025-11-21 (Flight FL00259)
PA00301,Flew to Bangkok on 2025-11-20 (Flight FL00075)
PA00302,Flew to Phu Quoc on 2025-11-21 (Flight FL00377)
PA00303,Flew to Sydney on 2025-11-21 (Flight FL00180)
PA00304,Flew to Bangkok on 2025-11-21 (Flight FL00353)
PA00305,Flew to Hong Kong on 2025-11-20 (Flight FL00203)
PA00306,Flew to Bangkok on 2025-11-21 (Flight FL00345)
PA00307,Flew to Seoul on 2025-11-19 (Flight FL00017)
PA00308,Flew to Taipei on 2025-11-20 (Flight FL00219)
PA00309,Flew to Bangkok on 2025-11-21 (Flight FL00345)
PA00310,Flew to Phu Quoc on 2025-11-20 (Flight FL00123)
PA00311,Flew to Tokyo on 2025-11-21 (Flight FL00101)
PA00312,Flew to Taipei on 2025-11-21 (Flight FL00005)
PA00313,Flew to London on 2025-11-21 (Flight FL00046)
PA00314,Flew to Paris on 2025-11-21 (Flight FL00084)
PA00315,Flew to Paris on 2025-11-21 (Flight FL00227)
PA00316,Flew to Paris on 2025-11-21 (Flight FL00289)
PA00317,Flew to Hong Kong on 2025-11-21 (Flight FL00305)
PA00318,Flew to Phu Quoc on 2025-11-20 (Flight FL00123)
PA00319,Flew to London on 2025-11-19 (Flight FL00137)
PA00320,Flew to Melbourne on 2025-11-20 (Flight FL00257)
PA00321,Flew to London on 2025-11-21 (Flight FL00028)
PA00322,Flew to Bangkok on 2025-11-21 (Flight FL00250)
PA00323,Flew to Bangkok on 2025-11-21 (Flight FL00124)
PA00324,Flew to Melbourne on 2025-11-20 (Flight FL00076)
PA00325,Flew to Dubai on 2025-11-20 (Flight FL00121)
PA00326,Flew to Da Nang on 2025-11-19 (Flight FL00073)
PA00327,Flew to Phu Quoc on 2025-11-21 (Flight FL00085)
PA00328,Flew to London on 2025-11-20 (Flight FL00187)
PA00329,Flew to Phu Quoc on 2025-11-20 (Flight FL00066)
PA00330,Flew to Paris on 2025-11-21 (Flight FL00084)
PA00331,Flew to Bangkok on 2025-11-21 (Flight FL00250)
PA00332,Flew to Paris on 2025-11-21 (Flight FL00361)
PA00333,Flew to Sydney on 2025-11-21 (Flight FL00004)
PA00334,Flew to Paris on 2025-11-20 (Flight FL00091)
PA00335,Flew to London on 2025-11-21 (Flight FL00021)
PA00336,Flew to Phu Quoc on 2025-11-21 (Flight FL00330)
PA00337,Flew to London on 2025-11-21 (Flight FL00141)
PA00338,Flew to Hong Kong on 2025-11-21 (Flight FL00305)
PA00339,Flew to Tokyo on 2025-11-20 (Flight FL00082)
PA00340,Flew to Phu Quoc on 2025-11-20 (Flight FL00057)
PA00341,Flew to Melbourne on 2025-11-20 (Flight FL00257)
PA00342,Flew to Taipei on 2025-11-21 (Flight FL00109)
PA00343,Flew to Paris on 2025-11-21 (Flight FL00086)
PA00344,Flew to Phu Quoc on 2025-11-21 (Flight FL00260)
PA00345,Flew to Singapore on 2025-11-20 (Flight FL00010)
PA00346,Flew to Seoul on 2025-11-20 (Flight FL00130)
PA00347,Flew to Tokyo on 2025-11-21 (Flight FL00197)
PA00348,Flew to Hong Kong on 2025-11-20 (Flight FL00138)
PA00349,Flew to Bangkok on 2025-11-21 (Flight FL00353)
PA00350,Flew to Phu Quoc on 2025-11-21 (Flight FL00108)
PA00351,Flew to Paris on 2025-11-20 (Flight FL00273)
PA00352,Flew to Melbourne on 2025-11-21 (Flight FL00252)
PA00353,Flew to Tokyo on 2025-11-21 (Flight FL00220)
PA00354,Flew to Singapore on 2025-11-20 (Flight FL00010)
PA00355,Flew to Bangkok on 2025-11-21 (Flight FL00353)
PA00356,Flew to Tokyo on 2025-11-21 (Flight FL00220)
PA00357,Flew to Da Nang on 2025-11-21 (Flight FL00148)
PA00358,Flew to Paris on 2025-11-20 (Flight FL00273)
PA00359,Flew to Singapore on 2025-11-20 (Flight FL00089)
PA00360,Flew to Seoul on 2025-11-21 (Flight FL00030)
PA00361,Flew to Tokyo on 2025-11-20 (Flight FL00234)
PA00362,Flew to Phu Quoc on 2025-11-21 (Flight FL00125)
PA00363,Flew to Seoul on 2025-11-19 (Flight FL00017)
PA00364,Flew to Seoul on 2025-11-20 (Flight FL00018)
PA00365,Flew to Sydney on 2025-11-20 (Flight FL00043)
PA00366,Flew to Paris on 2025-11-21 (Flight FL00243)
PA00367,Flew to Hong Kong on 2025-11-19 (Flight FL00001)
PA00368,Flew to Hong Kong on 2025-11-21 (Flight FL00305)
PA00369,Flew to Hong Kong on 2025-11-20 (Flight FL00265)
PA00370,Flew to Seoul on 2025-11-20 (Flight FL00204)
PA00371,Flew to Paris on 2025-11-21 (Flight FL00236)
PA00372,Flew to Sydney on 2025-11-20 (Flight FL00043)
PA00373,Flew to Phu Quoc on 2025-11-20 (Flight FL00123)
PA00374,Flew to Hanoi on 2025-11-21 (Flight FL00196)
PA00375,Flew to Seoul on 2025-11-20 (Flight FL00204)
PA00376,Flew to Melbourne on 2025-11-22 (Flight FL00393)
PA00377,Flew to Hong Kong on 2025-11-21 (Flight FL00274)
PA00378,Flew to Phu Quoc on 2025-11-21 (Flight FL00260)
PA00379,Flew to Dubai on 2025-11-21 (Flight FL00267)
PA00380,Flew to Melbourne on 2025-11-20 (Flight FL00257)
PA00381,Flew to Bangkok on 2025-11-21 (Flight FL00077)
PA00382,Flew to London on 2025-11-21 (Flight FL00116)
PA00383,Flew to Phu Quoc on 2025-11-20 (Flight FL00249)
PA00384,Flew to Tokyo on 2025-11-19 (Flight FL00177)
PA00385,Flew to Sydney on 2025-11-20 (Flight FL00003)
PA00386,Flew to Dubai on 2025-11-21 (Flight FL00149)
PA00387,Flew to Seoul on 2025-11-21 (Flight FL00150)
PA00388,Flew to Bangkok on 2025-11-21 (Flight FL00077)
PA00389,Flew to Phu Quoc on 2025-11-21 (Flight FL00125)
PA00390,Flew to Paris on 2025-11-21 (Flight FL00361)
PA00391,Flew to Dubai on 2025-11-20 (Flight FL00013)
PA00392,Flew to Dubai on 2025-11-21 (Flight FL00258)
PA00393,Flew to Phu Quoc on 2025-11-20 (Flight FL00026)
PA00394,Flew to Tokyo on 2025-11-20 (Flight FL00233)
PA00395,Flew to London on 2025-11-21 (Flight FL00141)
PA00396,Flew to Hong Kong on 2025-11-20 (Flight FL00068)
PA00397,Flew to London on 2025-11-21 (Flight FL00297)
PA00398,Flew to Melbourne on 2025-11-21 (Flight FL00252)
PA00399,Flew to Tokyo on 2025-11-21 (Flight FL00220)
PA00400,Flew to Phu Quoc on 2025-11-21 (Flight FL00165)
PA00401,Flew to Singapore on 2025-11-20 (Flight FL00010)
PA00402,Flew to Dubai on 2025-11-20 (Flight FL00053)
PA00403,Flew to Melbourne on 2025-11-20 (Flight FL00257)
PA00404,Flew to Bangkok on 2025-11-21 (Flight FL00077)
PA00405,Flew to Seoul on 2025-11-20 (Flight FL00204)
PA00406,Flew to Sydney on 2025-11-21 (Flight FL00259)
PA00407,Flew to Phu Quoc on 2025-11-21 (Flight FL00108)
PA00408,Flew to Melbourne on 2025-11-21 (Flight FL00252)
PA00409,Flew to Hong Kong on 2025-11-20 (Flight FL00050)
PA00410,Flew to Hong Kong on 2025-11-20 (Flight FL00138)
PA00411,Flew to Taipei on 2025-11-21 (Flight FL00164)
PA00412,Flew to Singapore on 2025-11-21 (Flight FL00315)
PA00413,Flew to Dubai on 2025-11-20 (Flight FL00145)
PA00414,Flew to Da Nang on 2025-11-20 (Flight FL00211)
PA00415,Flew to Dubai on 2025-11-20 (Flight FL00053)
PA00416,Flew to Sydney on 2025-11-20 (Flight FL00098)
PA00417,Flew to Tokyo on 2025-11-21 (Flight FL00144)
PA00418,Flew to Taipei on 2025-11-20 (Flight FL00219)
PA00419,Flew to Singapore on 2025-11-20 (Flight FL00010)
PA00420,Flew to Hong Kong on 2025-11-21 (Flight FL00189)
PA00421,Flew to Bangkok on 2025-11-20 (Flight FL00162)
PA00422,Flew to Seoul on 2025-11-19 (Flight FL00017)
PA00423,Flew to Tokyo on 2025-11-21 (Flight FL00144)
PA00424,Flew to Hong Kong on 2025-11-21 (Flight FL00305)
PA00425,Flew to Sydney on 2025-11-20 (Flight FL00003)
PA00426,Flew to Da Nang on 2025-11-21 (Flight FL00020)
PA00427,Flew to Tokyo on 2025-11-21 (Flight FL00197)
PA00428,Flew to Paris on 2025-11-21 (Flight FL00346)
